,str0.3_den0.05,str0.03_den0.5,str0.003_den5.0,str0.3_den0.11,str0.03_den1.1,str0.003_den11.0,str0.3_den0.23,str0.03_den2.3000000000000003,str0.003_den23.0,str0.3_den0.5,str0.03_den5.0,str0.003_den50.0,str0.3_den1.08,str0.03_den10.8,str0.003_den108.0,str0.3_den2.32,str0.03_den23.2,str0.003_den231.99999999999997,str0.3_den5.0,str0.03_den50.0,str0.003_den500.0,str0.3_den10.77,str0.03_den107.69999999999999,str0.003_den1077.0,str0.3_den23.21,str0.03_den232.10000000000002,str0.003_den2321.0
446,0.0,2.0,2.0,1.0,5.0,5.0,8.0,7.0,3.0,20.0,39.0,4.0,37.0,6.0,21.0,62.0,36.0,13.0,252.0,107.0,46.0,214.0,1141.0,507.0,1500.0,1500.0,1500.0
447,0.0,6.0,3.0,4.0,6.0,3.0,2.0,5.0,6.0,4.0,6.0,5.0,40.0,22.0,7.0,38.0,56.0,39.0,137.0,120.0,42.0,409.0,919.0,584.0,1500.0,1500.0,1500.0
448,64.0,3.0,2.0,2.0,3.0,4.0,51.0,7.0,4.0,13.0,5.0,4.0,47.0,8.0,5.0,71.0,83.0,20.0,160.0,41.0,61.0,839.0,375.0,172.0,1500.0,1500.0,1500.0
449,0.0,2.0,3.0,0.0,4.0,2.0,3.0,5.0,4.0,12.0,40.0,9.0,26.0,6.0,5.0,105.0,118.0,50.0,69.0,124.0,91.0,416.0,952.0,130.0,1500.0,1500.0,1500.0
450,3.0,5.0,4.0,0.0,9.0,11.0,6.0,32.0,5.0,27.0,4.0,5.0,56.0,17.0,4.0,95.0,33.0,9.0,175.0,138.0,88.0,318.0,725.0,333.0,1500.0,1500.0,1500.0
451,0.0,32.0,3.0,37.0,3.0,4.0,30.0,3.0,3.0,8.0,42.0,5.0,48.0,6.0,11.0,115.0,69.0,18.0,185.0,173.0,49.0,1397.0,434.0,436.0,1500.0,1500.0,1500.0
452,0.0,3.0,2.0,0.0,3.0,8.0,0.0,4.0,3.0,13.0,19.0,4.0,4.0,28.0,17.0,41.0,76.0,16.0,101.0,176.0,99.0,861.0,878.0,567.0,1500.0,1500.0,1500.0
453,0.0,20.0,2.0,22.0,4.0,4.0,42.0,4.0,4.0,6.0,10.0,6.0,35.0,21.0,4.0,78.0,55.0,6.0,188.0,211.0,109.0,1017.0,405.0,207.0,1500.0,1500.0,1500.0
454,0.0,0.0,3.0,2.0,4.0,5.0,8.0,6.0,4.0,20.0,21.0,5.0,34.0,64.0,7.0,134.0,42.0,27.0,75.0,96.0,42.0,518.0,579.0,206.0,1500.0,1500.0,1500.0
455,0.0,2.0,3.0,0.0,19.0,4.0,0.0,5.0,4.0,0.0,4.0,4.0,8.0,48.0,14.0,52.0,59.0,16.0,115.0,251.0,63.0,350.0,1310.0,311.0,1500.0,1500.0,1500.0
456,2.0,6.0,4.0,6.0,10.0,5.0,6.0,7.0,3.0,48.0,7.0,5.0,4.0,5.0,5.0,23.0,103.0,40.0,216.0,200.0,65.0,329.0,1500.0,634.0,1500.0,1500.0,1500.0
457,3.0,2.0,2.0,1.0,9.0,3.0,1.0,8.0,4.0,5.0,9.0,5.0,24.0,34.0,6.0,57.0,34.0,29.0,156.0,138.0,77.0,1500.0,658.0,407.0,1500.0,1500.0,1500.0
458,34.0,5.0,5.0,0.0,4.0,3.0,4.0,35.0,3.0,4.0,5.0,5.0,5.0,12.0,5.0,13.0,143.0,14.0,458.0,88.0,99.0,839.0,431.0,288.0,1500.0,1500.0,1500.0
459,0.0,4.0,4.0,0.0,4.0,3.0,0.0,6.0,5.0,26.0,32.0,5.0,28.0,37.0,6.0,55.0,26.0,21.0,197.0,153.0,123.0,741.0,535.0,371.0,1500.0,1500.0,1500.0
460,0.0,2.0,3.0,5.0,6.0,3.0,4.0,7.0,4.0,97.0,11.0,4.0,7.0,11.0,5.0,64.0,55.0,29.0,111.0,195.0,30.0,878.0,616.0,253.0,1500.0,1500.0,1500.0
