,str0.3_den0.05,str0.03_den0.5,str0.003_den5.0,str0.3_den0.11,str0.03_den1.1,str0.003_den11.0,str0.3_den0.23,str0.03_den2.3000000000000003,str0.003_den23.0,str0.3_den0.5,str0.03_den5.0,str0.003_den50.0,str0.3_den1.08,str0.03_den10.8,str0.003_den108.0,str0.3_den2.32,str0.03_den23.2,str0.003_den231.99999999999997,str0.3_den5.0,str0.03_den50.0,str0.003_den500.0,str0.3_den10.77,str0.03_den107.69999999999999,str0.003_den1077.0,str0.3_den23.21,str0.03_den232.10000000000002,str0.003_den2321.0
128,,,,,,,,,,,,,,,,164.0,,,120.0,569.0,730.0,64.0,111.0,324.0,53.0,20.0,276.0
129,,,,828.0,,,,,,,,,,,,,416.0,,999.0,1067.0,1063.0,36.0,143.0,486.0,268.0,32.0,151.0
130,,,,,,,,,,,,,,,,112.0,,,108.0,184.0,1097.0,296.0,159.0,198.0,38.0,77.0,104.0
131,,,,,,,,,,,,,1002.0,,,994.0,,,472.0,171.0,1077.0,281.0,221.0,573.0,55.0,56.0,143.0
132,,,,,,,,,,,,,,,,129.0,,,124.0,263.0,924.0,59.0,32.0,296.0,38.0,43.0,135.0
133,,,,,,,,,,,,,,,,,,,542.0,181.0,,172.0,129.0,267.0,66.0,55.0,146.0
134,,,,,,,,,,,,,,,,460.0,233.0,,,292.0,589.0,103.0,340.0,378.0,119.0,104.0,116.0
135,,,,,,,,,,,928.0,,,,,,515.0,,214.0,490.0,576.0,47.0,259.0,266.0,23.0,130.0,106.0
136,,,,,,,,,,,,,46.0,,,,,,156.0,431.0,,128.0,161.0,335.0,23.0,136.0,96.0
137,,,,,,,,,,,,,670.0,,,805.0,,,,259.0,1028.0,107.0,81.0,281.0,26.0,43.0,174.0
138,,,,,,,,,,,425.0,,,,,311.0,1192.0,,92.0,119.0,,93.0,137.0,468.0,51.0,43.0,199.0
139,,,,,,,,,,,,,,,,216.0,,,1093.0,607.0,1133.0,69.0,227.0,410.0,75.0,75.0,138.0
140,,,,,,,,,,,,,,,,430.0,,,330.0,531.0,,400.0,76.0,408.0,101.0,63.0,114.0
141,,,,,,,,,,,,,1088.0,,,1078.0,422.0,,166.0,287.0,821.0,216.0,176.0,119.0,26.0,20.0,148.0
142,,,,,,,,,,,,,,,,243.0,1034.0,,178.0,457.0,931.0,53.0,111.0,593.0,43.0,127.0,125.0
143,,,,,,,,,,,,,,,,26.0,,,88.0,449.0,,69.0,160.0,153.0,124.0,42.0,195.0
144,,,,,,,,,,,,,,,,,337.0,,730.0,212.0,1087.0,75.0,220.0,392.0,87.0,82.0,208.0
145,,,,,,,,,,,,,275.0,,,,,,138.0,470.0,,315.0,81.0,409.0,57.0,72.0,115.0
146,,,,,,,,,,,,,,133.0,,241.0,,,307.0,333.0,,68.0,264.0,215.0,92.0,100.0,129.0
147,,,,,,,,,,,,,,,,,,,,240.0,1007.0,74.0,153.0,248.0,38.0,29.0,181.0
148,,,,,,,,,,,,,602.0,,,,,,29.0,611.0,1036.0,149.0,139.0,230.0,18.0,20.0,89.0
149,,,,,,,,,,,,,,,,203.0,807.0,,191.0,351.0,873.0,224.0,221.0,238.0,21.0,72.0,224.0
150,,,,,,,,,,,,,,,,1077.0,,,1081.0,885.0,1012.0,142.0,238.0,387.0,24.0,92.0,142.0
151,,,,,,,,,,484.0,,,,,,1029.0,,,584.0,875.0,750.0,113.0,127.0,611.0,20.0,21.0,83.0
152,,,,,,,,,,,,,1157.0,,,,568.0,,116.0,780.0,,65.0,75.0,431.0,50.0,86.0,118.0
153,,,,,,,928.0,,,,,,,835.0,,1043.0,509.0,,502.0,730.0,,82.0,143.0,515.0,106.0,139.0,89.0
154,,,,,,,151.0,,,1069.0,,,267.0,,,422.0,,,290.0,357.0,587.0,75.0,314.0,282.0,9.0,103.0,230.0
155,,,,,,,,,,,,,,,,,535.0,,22.0,946.0,,321.0,321.0,399.0,56.0,26.0,197.0
156,,,,,,,,,,,,,795.0,,,,,,887.0,427.0,,22.0,237.0,359.0,74.0,141.0,116.0
157,,,,,,,,,,,,,,,,813.0,,,504.0,1187.0,524.0,52.0,261.0,279.0,62.0,85.0,183.0
158,,,,,,,,,,,,,,,,,1062.0,,458.0,527.0,623.0,168.0,172.0,491.0,33.0,65.0,120.0
159,,,,,,,,,,1106.0,,,784.0,,,,631.0,,555.0,466.0,984.0,261.0,161.0,340.0,46.0,74.0,164.0
160,,,,,,,,,,,,,605.0,,,273.0,,,233.0,772.0,,109.0,197.0,488.0,124.0,119.0,141.0
161,,,,,,,,,,,,,365.0,,,178.0,,,322.0,389.0,983.0,127.0,138.0,381.0,12.0,28.0,217.0
162,,,,,,,,,,,,,300.0,,,,,,678.0,799.0,,59.0,304.0,274.0,20.0,49.0,165.0
163,,,,,,,,,,,,,911.0,,,244.0,407.0,,282.0,431.0,731.0,128.0,318.0,264.0,15.0,64.0,151.0
164,,,,,,,,,,,,,,,,738.0,,,658.0,569.0,,191.0,185.0,384.0,112.0,81.0,129.0
165,,,,,,,,,,,,,,,,134.0,,,220.0,556.0,755.0,131.0,138.0,250.0,41.0,42.0,136.0
166,,,,,,,,,,,,,,,,529.0,805.0,,390.0,318.0,,85.0,265.0,388.0,40.0,89.0,74.0
167,1068.0,,,,,,1096.0,,,,,,647.0,,,,,,387.0,37.0,,50.0,143.0,610.0,56.0,39.0,98.0
168,,,,,,,,,,,,,,,,382.0,,,159.0,476.0,,62.0,125.0,372.0,32.0,75.0,130.0
169,,,,,,,,,,,,,,,,241.0,645.0,,478.0,674.0,526.0,511.0,296.0,657.0,118.0,86.0,122.0
170,,,,,,,,,,,,,,,,,503.0,,167.0,1003.0,,40.0,76.0,403.0,30.0,32.0,140.0
171,,,,,,,,,,,,,620.0,,,855.0,,,588.0,189.0,1042.0,110.0,224.0,248.0,38.0,25.0,102.0
172,,,,,,,,,,,,,,,,135.0,436.0,,62.0,,,630.0,434.0,504.0,39.0,64.0,93.0
173,,,,,,,,,,,,,143.0,,,,,,755.0,179.0,,52.0,259.0,460.0,24.0,126.0,137.0
174,,,,,,,,,,,,,755.0,,,,534.0,,212.0,675.0,,105.0,243.0,459.0,54.0,65.0,141.0
175,,,,,,,,,,,,,,,,856.0,702.0,,222.0,443.0,,41.0,186.0,375.0,69.0,49.0,152.0
176,,,,,,,,,,,,,1111.0,,,120.0,220.0,,486.0,665.0,,317.0,280.0,131.0,27.0,74.0,62.0
177,,,,,,,,,,,,,807.0,1170.0,,381.0,424.0,,139.0,702.0,,66.0,146.0,562.0,118.0,96.0,154.0
178,,,,,,,,,,,,,,,,,932.0,,185.0,222.0,,65.0,48.0,311.0,39.0,87.0,107.0
179,,,,,,,,1190.0,,,,,,,,971.0,,,214.0,358.0,1162.0,34.0,264.0,488.0,54.0,143.0,103.0
180,,,,,,,,,,,,,,,,,,,820.0,505.0,925.0,78.0,217.0,403.0,73.0,60.0,69.0
181,,,,,,,,,,,,,,,,,462.0,,742.0,561.0,,60.0,103.0,418.0,16.0,111.0,205.0
182,,,,,,,,,,,,,,,,,,1140.0,391.0,960.0,716.0,178.0,174.0,468.0,59.0,134.0,52.0
183,,,,,,,,,,,,,,1112.0,,,715.0,,855.0,640.0,,103.0,225.0,269.0,99.0,39.0,110.0
184,,,,,,,,,,,,,126.0,,,168.0,802.0,,496.0,92.0,973.0,212.0,193.0,359.0,38.0,125.0,134.0
185,,,,,,,,,,,,,,,,406.0,108.0,,377.0,482.0,,43.0,292.0,404.0,29.0,75.0,137.0
186,,,,995.0,,,,,,,,,153.0,,,659.0,,,56.0,257.0,,457.0,139.0,422.0,31.0,20.0,139.0
187,,,,,,,,,,,,,,701.0,,320.0,790.0,,299.0,214.0,,48.0,284.0,479.0,98.0,61.0,201.0
188,,,,,,,,,,244.0,,,175.0,,,260.0,,,370.0,623.0,,82.0,113.0,243.0,54.0,80.0,162.0
189,,,,,,,,,,,,,,,,,,,46.0,213.0,,260.0,213.0,397.0,79.0,111.0,124.0
