,str0.3_den0.05,str0.03_den0.5,str0.003_den5.0,str0.3_den0.11,str0.03_den1.1,str0.003_den11.0,str0.3_den0.23,str0.03_den2.3000000000000003,str0.003_den23.0,str0.3_den0.5,str0.03_den5.0,str0.003_den50.0,str0.3_den1.08,str0.03_den10.8,str0.003_den108.0,str0.3_den2.32,str0.03_den23.2,str0.003_den231.99999999999997,str0.3_den5.0,str0.03_den50.0,str0.003_den500.0,str0.3_den10.77,str0.03_den107.69999999999999,str0.003_den1077.0,str0.3_den23.21,str0.03_den232.10000000000002,str0.003_den2321.0
86,,,,,,,,,,,,,,,,,,,,,,776.0,353.0,924.0,113.0,237.0,378.0
87,,,,,,,,,,,,,,,,,,,,,,252.0,989.0,530.0,88.0,184.0,348.0
88,,,,,,,,,,,,,,,,,,,,,,416.0,395.0,874.0,75.0,155.0,353.0
89,,,,,,,,,,,,,,,,432.0,,,,,,589.0,624.0,1161.0,142.0,119.0,386.0
90,,,,,,,,,,,,,,,,,,,564.0,965.0,,601.0,467.0,1037.0,165.0,155.0,301.0
91,,,,,,,,,,,,,,,,,,,,,,70.0,97.0,902.0,55.0,196.0,298.0
92,,,,,,,,,,,,,,,,,,,,,,62.0,582.0,932.0,254.0,272.0,290.0
93,,,,,,,,,,,,,,,,,,,1051.0,,,402.0,653.0,491.0,204.0,220.0,358.0
94,,,,,,,,,,,,,,,,1134.0,,,275.0,,,483.0,448.0,740.0,121.0,248.0,433.0
95,,,,,,,,,,,,,,,,,,,,,,288.0,308.0,1080.0,139.0,127.0,291.0
96,,,,,,,,,,,,,,,,,,,1127.0,,,,661.0,858.0,151.0,202.0,332.0
97,,,,,,,,,,,,,,,,,,,,,,528.0,707.0,1197.0,124.0,222.0,320.0
98,,,,,,,,,,,,,,,,,,,,,,769.0,463.0,497.0,302.0,252.0,401.0
99,,,,,,,,,,,,,,,,318.0,,,820.0,,,505.0,505.0,646.0,353.0,157.0,303.0
100,,,,,,,,,,,,,,,,,,,,920.0,,281.0,519.0,795.0,196.0,223.0,326.0
101,,,,,,,,,,,,,,,,,,,972.0,,,275.0,231.0,860.0,307.0,145.0,239.0
102,,,,,,,,,,,,,,,,,,,916.0,,,465.0,598.0,1021.0,230.0,130.0,377.0
103,,,,,,,,,,,,,,,,,,,440.0,859.0,,778.0,798.0,941.0,166.0,161.0,339.0
104,,,,,,,,,,,,,,,,,,,,,,351.0,616.0,948.0,195.0,197.0,298.0
105,,,,,,,,,,,,,,,,,,,214.0,,,1095.0,581.0,613.0,130.0,153.0,397.0
106,,,,,,,,,,,,,,,,,,,,,,514.0,837.0,811.0,134.0,119.0,229.0
107,,,,,,,,,,,,,,,,,,,,,,1087.0,341.0,960.0,118.0,196.0,274.0
108,,,,,,,,,,,,,,,,,,,907.0,,,478.0,572.0,1117.0,120.0,210.0,269.0
109,,,,,,,,,,,,,,,,,,,,992.0,,,433.0,860.0,182.0,197.0,307.0
110,,,,,,,,,,,,,,,,,,,,,,1057.0,635.0,746.0,300.0,233.0,269.0
111,,,,,,,,,,,,,,,,,,,,,,131.0,389.0,1149.0,176.0,277.0,334.0
112,,,,,,,,,,,,,,,,1000.0,,,,,,642.0,588.0,1148.0,162.0,73.0,399.0
113,,,,,,,,,,,,,,,,,,,320.0,,,580.0,304.0,849.0,74.0,197.0,413.0
114,,,,,,,,,,,,,,,,,,,550.0,895.0,,146.0,558.0,871.0,124.0,117.0,365.0
115,,,,,,,,,,,,,,,,,,,,,,967.0,591.0,701.0,123.0,244.0,315.0
116,,,,,,,,,,,,,,,,,,,,982.0,,240.0,458.0,1041.0,273.0,139.0,381.0
117,,,,,,,,,,,,,,,,,,,,,,504.0,709.0,694.0,280.0,170.0,329.0
118,,,,,,,,,,,,,,,,,,,516.0,,,526.0,508.0,664.0,218.0,131.0,261.0
119,,,,,,,,,,,,,,,,,,,,,,843.0,520.0,785.0,76.0,268.0,330.0
120,,,,,,,,,,,,,,,,,,,623.0,,,388.0,545.0,696.0,457.0,229.0,300.0
121,,,,,,,,,,,,,,,,,,,349.0,,,787.0,326.0,889.0,259.0,225.0,348.0
122,,,,,,,,,,,,,,,,,,,1069.0,,,362.0,556.0,1064.0,59.0,137.0,319.0
123,,,,,,,,,,,,,,,,,,,,,,537.0,685.0,,167.0,117.0,342.0
124,,,,,,,,,,,,,,,,440.0,,,621.0,,,466.0,675.0,1123.0,208.0,207.0,386.0
125,,,,,,,,,,,,,,,,,,,,,,839.0,800.0,1022.0,50.0,214.0,353.0
126,,,,,,,,,,,,,,,,,,,385.0,861.0,,53.0,645.0,1072.0,295.0,228.0,307.0
