,type0_str1,type1_str1,type2_str1,type0_str0.3,type1_str0.3,type2_str0.3,type0_str0.1,type1_str0.1,type2_str0.1,type0_str0.03,type1_str0.03,type2_str0.03,type0_str0.01,type1_str0.01,type2_str0.01,type0_str0.003,type1_str0.003,type2_str0.003,type0_str0.001,type1_str0.001,type2_str0.001
166,84.0,5.0,904.0,42.0,3.0,327.0,52.0,4.0,177.0,49.0,3.0,283.0,7.0,4.0,85.0,5.0,4.0,26.0,4.0,3.0,8.0
167,5.0,4.0,615.0,21.0,3.0,352.0,56.0,4.0,152.0,53.0,3.0,411.0,16.0,4.0,71.0,23.0,3.0,52.0,5.0,3.0,18.0
168,26.0,3.0,1500.0,26.0,3.0,452.0,47.0,3.0,214.0,48.0,8.0,329.0,32.0,3.0,70.0,13.0,3.0,77.0,5.0,3.0,10.0
169,66.0,3.0,150.0,33.0,4.0,40.0,23.0,3.0,208.0,67.0,3.0,205.0,34.0,3.0,262.0,10.0,4.0,87.0,5.0,3.0,39.0
170,44.0,4.0,91.0,157.0,11.0,53.0,244.0,4.0,284.0,60.0,3.0,226.0,26.0,4.0,79.0,9.0,3.0,98.0,5.0,3.0,33.0
171,52.0,3.0,0.0,106.0,4.0,836.0,89.0,3.0,365.0,41.0,5.0,271.0,12.0,4.0,75.0,8.0,3.0,48.0,6.0,3.0,49.0
172,9.0,4.0,501.0,28.0,3.0,202.0,28.0,4.0,352.0,46.0,3.0,172.0,12.0,4.0,101.0,13.0,3.0,47.0,7.0,4.0,27.0
173,10.0,4.0,95.0,12.0,4.0,413.0,23.0,5.0,346.0,45.0,4.0,128.0,16.0,3.0,87.0,5.0,3.0,47.0,6.0,3.0,16.0
174,62.0,3.0,912.0,28.0,4.0,66.0,60.0,3.0,145.0,43.0,3.0,184.0,10.0,4.0,101.0,5.0,4.0,53.0,4.0,3.0,43.0
175,45.0,3.0,71.0,89.0,5.0,532.0,31.0,3.0,213.0,33.0,3.0,414.0,14.0,4.0,93.0,6.0,4.0,100.0,4.0,3.0,16.0
176,41.0,3.0,773.0,36.0,3.0,860.0,65.0,4.0,138.0,20.0,4.0,306.0,32.0,3.0,119.0,6.0,3.0,42.0,5.0,3.0,12.0
