,type0_str1,type1_str1,type2_str1,type0_str0.3,type1_str0.3,type2_str0.3,type0_str0.1,type1_str0.1,type2_str0.1,type0_str0.03,type1_str0.03,type2_str0.03,type0_str0.01,type1_str0.01,type2_str0.01,type0_str0.003,type1_str0.003,type2_str0.003,type0_str0.001,type1_str0.001,type2_str0.001
95,881.0,,47.0,,,73.0,,,330.0,,,698.0,,,694.0,,,1141.0,,,
96,722.0,,93.0,433.0,,115.0,,,329.0,897.0,,526.0,,,875.0,,,,,,
97,176.0,,30.0,,,57.0,439.0,,312.0,,,666.0,,,640.0,,,,,,
98,,,143.0,,,56.0,815.0,,63.0,,,536.0,,,661.0,,,953.0,,,
99,,,17.0,99.0,,35.0,,,520.0,,,691.0,,,249.0,,,1027.0,,,
100,,,,,,914.0,,,369.0,,,373.0,,,1142.0,,,817.0,,,
101,,,65.0,377.0,,174.0,741.0,,187.0,1163.0,,993.0,,,760.0,,,566.0,,,
102,1076.0,,,,,439.0,,,288.0,,,231.0,,,458.0,,,1075.0,,,
103,,,64.0,958.0,,119.0,,,268.0,,,312.0,,,386.0,,,,,,
104,,,38.0,,,103.0,,,120.0,175.0,,311.0,,,252.0,,,,,,
105,,,122.0,777.0,,421.0,,,126.0,,,259.0,,,515.0,,,,,,
106,,,115.0,,,280.0,906.0,,666.0,,,265.0,,,315.0,,,,,,
107,,,140.0,285.0,,168.0,,,160.0,,,255.0,,,460.0,,,862.0,,,
108,,,28.0,259.0,,,,,96.0,,,170.0,,,833.0,,,,,,
109,,,112.0,31.0,,165.0,,,117.0,,,506.0,,,150.0,,,977.0,,,
110,1097.0,,173.0,,,646.0,472.0,,98.0,,,117.0,,,712.0,,,,,,
111,,,590.0,622.0,,965.0,,,804.0,,,188.0,,,834.0,,,,,,
112,,,804.0,,,244.0,,,286.0,,,135.0,,,418.0,,,,,,
113,,,108.0,,,52.0,577.0,,213.0,,,489.0,,,262.0,,,1022.0,,,
114,,,,555.0,,227.0,,,73.0,,,228.0,,,382.0,,,,,,
115,,,506.0,518.0,,292.0,,,67.0,,,361.0,,,619.0,,,1103.0,,,
116,,,124.0,,,76.0,,,167.0,,,65.0,,,309.0,,,660.0,,,
117,137.0,,428.0,175.0,,629.0,374.0,,369.0,,,193.0,764.0,,739.0,,,1098.0,,,
118,,,30.0,,,245.0,383.0,,218.0,,,248.0,,,471.0,,,,,,
119,,,74.0,711.0,,426.0,617.0,,30.0,,,240.0,,,477.0,,,,,,
120,,,752.0,760.0,,137.0,830.0,,566.0,,,645.0,,,676.0,,,773.0,,,
121,,,106.0,,,67.0,,,499.0,,,520.0,,,564.0,,,,,,
122,,,138.0,,,98.0,461.0,,70.0,,,503.0,,,1023.0,,,,,,
123,1077.0,,365.0,161.0,,70.0,,,476.0,1177.0,,507.0,,,734.0,,,677.0,,,
124,584.0,,871.0,171.0,,53.0,938.0,,151.0,,,82.0,,,467.0,,,,,,
125,,,401.0,,,834.0,,,152.0,1015.0,,464.0,,,66.0,,,,,,
126,483.0,,21.0,1174.0,,42.0,460.0,,72.0,1155.0,,611.0,,,297.0,,,1035.0,,,
127,,,904.0,23.0,,163.0,794.0,,246.0,,,297.0,,,1038.0,,,,,,
128,181.0,,152.0,790.0,,113.0,,,428.0,,,404.0,,,594.0,,,905.0,,,
