fname,centroid_1,centroid_2,centroid_3,volume,n_slices,frac_in_cell,edge_dist,n_bkgnd,rand_n_bkgnd,GFP_med,rand_GFP_med,GFP_max,rand_GFP_max,GFP_tot,rand_GFP_tot,GFP_bkgnd,rand_GFP_bkgnd,pLAT_med,rand_pLAT_med,pLAT_max,rand_pLAT_max,pLAT_tot,rand_pLAT_tot,pLAT_bkgnd,rand_pLAT_bkgnd,pCD3z_med,rand_pCD3z_med,pCD3z_max,rand_pCD3z_max,pCD3z_tot,rand_pCD3z_tot,pCD3z_bkgnd,rand_pCD3z_bkgnd
B3-0-0.mat,258.74025974026,455.74025974026,1.48051948051948,77,2,1,27.7414757260605,918,955,125.38347625959,-1.46015177550964,327.317517306539,177.664099655932,9146.93131520349,-833.45188442598,244.577546882919,334.783599088838,55.9177644201733,7.79542497723952,220.45197248563,77.2590984343749,4290.51626181193,680.586798357199,113.423265416031,136.776727242098,12.5562264662164,89.2303465363186,218.544108391093,253.613600322428,2961.52762398407,7013.96693896054,250.129095137462,314.962610024005
B3-0-0.mat,317.328402366864,389.240828402367,3.47100591715976,1690,6,1,19.0323965549086,2245,1692,1839.21110275821,1.17538083575229,33446.3035290763,228.579703682504,7359071.46856154,6349.45072697664,306.117160578911,242.974128968169,38.7387471458559,0.815817971849413,935.995910350488,165.689698539352,127187.304728609,915.619777372609,112.110245190221,115.532704905325,280.011031279547,7.14921399225952,2833.36049695525,261.373267931796,726473.468159997,14045.1457317524,225.911572881061,292.584415349233
B3-0-0.mat,333.384615384615,976.217768147346,3.46803900325027,344,6,0.372697724810401,5.23223505821301,671,1358,122.038379386647,-11.0748176610106,4850.10680807161,234.176669596759,146563.843112846,-4105.5606715295,261.15652173913,370.886064318765,-17.3034892465946,2.62021658887603,112.151660763779,89.4682252925473,-3785.5904866965,-1326.35604341857,122.53372068894,125.188979440997,-43.9335822744175,-15.0195625785668,223.179773727614,298.566756825027,-15021.2371749825,-1042.07015813522,307.550156437097,382.62234562727
B3-0-0.mat,345.486607142857,818.636160714286,3.45982142857143,896,6,1,98.4573804886164,1283,892,133.82869303633,5.20824918799076,4373.55689766559,2356.02663874031,421165.877427861,45301.8755752077,299.110139055162,292.504489832353,24.2469035766636,6.1095607012593,539.174536456495,339.697089565553,38497.4624233178,14371.5247409004,129.395297876262,122.350917906427,93.7498678333067,86.7781082691595,2182.44104226846,894.016286754567,193855.878681122,123539.72663592,301.835545550501,247.720208385943
B3-0-0.mat,383.5,973,1,18,1,1,29.6015202312314,437,646,113.68866927517,-31.2453245478567,334.145988685777,41.0401793882133,2567.85232676269,-763.533503815775,377.296119402985,327.900111090539,58.4950462188475,16.355380984604,72.4569595005271,49.8276173465726,577.564343892885,269.925032534948,128.344140554247,109.674047330857,32.2997170384566,-72.6967676960271,238.369529525625,116.129041713029,1159.09902764682,-870.856633734693,317.744063236271,301.295065629232
B3-0-0.mat,398.525597269625,255.870307167235,3.01706484641638,586,6,1,11.529879614083,1248,1535,60.6357061432911,18.774987669206,1043.19556244052,216.429889944188,71315.8956171278,11098.5243100636,214.045152603155,386.333148030496,39.8785920828426,-3.16507036747241,330.809134458601,106.744602169264,36632.0244852034,242.477927191734,109.941395513787,129.22204706886,75.6107547030825,11.207553251479,623.555134338307,186.77520928552,56811.4172989011,6557.48730735321,215.030940460089,308.296567828347
B3-0-0.mat,405.131034482759,510.731034482759,1.80689655172414,71,3,0.489655172413793,19.9440561209124,664,969,69.1389064640981,-10.8214936526481,317.938434370564,251.683743781985,7214.62032794732,713.83702769756,230.320988616872,262.565885298134,-14.4612582317519,18.1138455671726,38.3341999127977,110.106047698628,-1065.49424513915,990.75902557045,109.629144219221,119.485270543715,47.2014444848204,25.278449098244,211.99393327669,149.813793490953,2284.08070744584,1859.88034132256,267.104759303645,192.698721671807
B3-0-0.mat,428.936131386861,154.563868613139,3.4963503649635,1096,6,1,37.8761059148825,1820,1451,568.859640741921,10.8467939556649,15376.4785954519,306.406651631925,2181859.52254362,13724.7278837882,233.068860169379,339.901709038347,14.9318135856379,5.08233029180312,161.307297961237,230.97611820546,17203.7858611157,11272.7483058185,99.6747784498523,131.294878101572,133.788093400811,4.08151173012703,1580.44934139671,751.131081770621,262414.064394371,20283.4185712848,193.527730975145,260.54227882195
B3-0-0.mat,440,814,1,37,1,1,20.6155281280883,202,841,124.013781020926,-1.14782527574755,366.418229211556,173.321925127681,5251.57610021642,-23.9623693223466,341.994624438461,260.935908691835,181.092827024532,-6.91139488951407,362.318413612453,52.9690226323947,6015.54806760038,-274.630490588502,154.439611766441,120.643718004637,308.512781288199,18.1203440029958,786.707689770568,197.398739271969,13552.9278213246,418.175932127102,283.299375951574,262.297066940439
B3-0-0.mat,456.1647597254,445.731121281465,3.4187643020595,874,6,1,2.73608647911256,1578,1249,119.592332838946,-1.27509502998083,2538.16256596452,249.542282395273,276035.300435366,2568.08315789651,243.995401402962,330.891515102956,6.37082272677662,-3.26388804513381,263.573633798656,128.094096490411,8086.60140142088,-3324.83465426414,113.193412366739,117.948084677419,0.745160652611048,-14.6573099701667,213.313954443004,215.199251183495,5065.77755094592,-16446.5433516917,213.296229208148,272.185693068856
B3-0-0.mat,460.736526946108,110.697604790419,2.51497005988024,129,4,0.38622754491018,14.4650857316603,550,1038,67.5624490166969,0.359195106631262,409.413289474628,169.955898862772,11058.0627291622,-702.464089276386,158.755201683605,261.262794422165,-10.9303220495433,-2.31998769282397,54.6993993152009,104.889948813505,-1692.33836251676,-133.024800908325,93.2467328489081,115.121583779377,0.0882579851081573,30.4772960347816,97.5964753442497,150.894451863167,-1049.24624085131,1669.34420272019,163.158777777712,216.996429824851
