,type0,type1,type2,type3
149,0.0,0.0,0.0,690.9999999999999
150,0.0,69.0,0.0,226.0
151,0.0,0.0,0.0,148.0
152,0.0,112.0,0.0,402.0
153,0.0,0.0,0.0,798.0
154,0.0,63.0,0.0,666.0
155,0.0,77.0,0.0,325.0
156,0.0,0.0,0.0,386.0
157,0.0,0.0,0.0,950.0
158,56.0,0.0,0.0,67.0
159,0.0,0.0,0.0,415.00000000000006
160,0.0,0.0,0.0,439.0
161,0.0,0.0,0.0,290.0
162,0.0,0.0,0.0,250.00000000000003
163,110.00000000000001,76.0,0.0,470.0
164,80.0,0.0,0.0,417.99999999999994
165,82.0,115.0,0.0,147.0
166,0.0,190.0,0.0,851.0
167,0.0,0.0,0.0,138.0
168,0.0,0.0,0.0,111.0
169,0.0,0.0,0.0,0.0
170,0.0,0.0,0.0,0.0
171,163.0,0.0,0.0,340.0
172,0.0,0.0,0.0,684.0
173,0.0,0.0,0.0,464.0
174,0.0,0.0,0.0,248.0
175,0.0,0.0,0.0,291.99999999999994
176,0.0,60.0,0.0,0.0
177,72.0,0.0,0.0,178.0
178,0.0,0.0,0.0,231.0
179,0.0,0.0,0.0,88.0
180,0.0,0.0,0.0,51.0
181,77.0,0.0,0.0,517.0
182,0.0,0.0,0.0,884.0
183,0.0,235.0,0.0,526.0
184,195.0,94.0,0.0,0.0
185,0.0,0.0,0.0,0.0
186,0.0,184.0,0.0,1058.0
187,0.0,0.0,0.0,671.0000000000001
188,0.0,0.0,0.0,172.0
189,69.0,90.0,0.0,0.0
190,0.0,0.0,0.0,169.00000000000003
191,0.0,172.0,0.0,0.0
192,0.0,0.0,0.0,69.0
193,0.0,0.0,0.0,0.0
194,313.0,0.0,0.0,823.0
195,0.0,132.0,0.0,437.0
196,0.0,146.0,0.0,0.0
197,0.0,0.0,0.0,0.0
198,0.0,0.0,0.0,202.0
199,0.0,0.0,0.0,68.0
200,0.0,0.0,0.0,57.0
201,0.0,0.0,0.0,510.0
202,0.0,56.0,0.0,0.0
203,0.0,66.0,0.0,589.0000000000001
204,238.0,0.0,0.0,153.0
205,0.0,58.0,0.0,772.0
206,89.0,0.0,0.0,66.0
207,0.0,0.0,0.0,0.0
208,0.0,0.0,0.0,799.0
209,0.0,0.0,0.0,553.0
210,84.0,0.0,0.0,535.0
211,0.0,0.0,0.0,0.0
212,0.0,119.0,0.0,0.0
213,0.0,0.0,0.0,116.0
214,103.0,0.0,0.0,829.0
215,0.0,140.0,0.0,667.0
216,0.0,0.0,0.0,374.0
217,0.0,0.0,0.0,650.0
218,185.0,0.0,0.0,584.0
219,104.0,0.0,0.0,0.0
220,68.0,0.0,0.0,488.0
221,0.0,0.0,0.0,0.0
222,0.0,0.0,0.0,420.0
223,0.0,0.0,0.0,0.0
224,0.0,0.0,0.0,447.0
225,52.0,74.0,0.0,662.0
226,0.0,88.0,0.0,376.0
227,0.0,0.0,0.0,493.0
228,0.0,65.0,0.0,632.0
229,0.0,69.0,0.0,62.0
230,0.0,0.0,0.0,441.0
231,209.0,0.0,0.0,336.0
232,0.0,116.0,0.0,791.0
233,0.0,0.0,0.0,83.0
234,0.0,232.0,0.0,247.0
235,0.0,0.0,0.0,765.0
236,0.0,0.0,0.0,107.0
237,0.0,0.0,0.0,0.0
238,0.0,0.0,0.0,636.0
239,0.0,63.0,0.0,119.0
240,0.0,0.0,0.0,202.0
241,70.0,0.0,0.0,91.0
