,type0,type1,type2,type3
181,,,,209.0
182,,,,405.0
183,,981.0,,177.0
184,,,,
185,,,,
186,,,,142.0
187,,,,114.0
188,,,,
189,,,,
190,,,,
191,,,,
192,,,,
193,,,,
194,294.0,,,288.0
195,,,,232.0
196,,,,
197,,,,
198,,,,114.0
199,,,,
200,,,,
201,,,,421.0
202,,,,
203,,,,484.0
204,748.0,,,
205,,,,652.0
206,,,,
207,,,,
208,,,,275.0
209,,,,213.0
210,,,,168.0
211,,,,
212,,,,
213,,,,
214,,,,133.0
215,,,,147.0
216,,,,238.0
217,,,,277.0
218,,,,355.0
219,,,,
220,,,,223.0
221,,,,
222,,,,170.0
223,,,,
224,,,,327.0
225,,,,249.0
226,,,,234.0
227,,,,214.0
228,,,,330.0
229,,,,
230,,,,123.0
231,721.0,,,318.0
232,,,,183.0
233,,,,
234,,,,420.0
235,,,,225.0
236,,,,
237,,,,
238,,,,326.0
239,,,,
240,,,,154.0
241,,,,
242,,,,280.0
243,,,,128.0
244,,,,94.0
245,,,,216.0
246,,,,171.0
247,,,,
248,,,,288.0
249,,,,116.0
250,,,,317.0
251,,,,213.0
252,,,,79.0
253,579.0,,,
254,,,,162.0
255,,518.0,,
256,,,,
257,,,,126.0
258,,,,
259,,,,
260,,,,137.0
261,,,,362.0
262,,,,
263,,813.0,,
264,,,,
265,,,,
266,,,,
267,,,,
268,,,,
269,,,,
270,,,,
271,908.0,,,247.0
272,,,,
273,,,,
274,,,,
275,,,,
276,,,,166.0
277,,,,390.0
278,,,,
279,,,,211.0
280,,,,
281,,,,130.0
282,,,,
283,,,,249.0
284,,,,183.0
285,,,,94.0
286,,,,
287,,,,
288,,,,
289,,,,772.0
290,,,,
291,,,,208.0
292,,,,181.0
293,,,,151.0
294,,,,
295,,,,
296,,,,124.0
297,,,,141.0
298,,,,157.0
299,,,,
300,,,,
301,,,,
302,,,,
303,,,,
304,,,,
305,,,,
306,,,,155.0
307,,,,
308,,,,185.0
309,,,,243.0
310,,,,182.0
311,,,,
312,,,,233.0
313,,,,
314,,,,204.0
315,,,,340.0
316,,,,
317,,,,359.0
318,,,,108.0
319,,,,
320,,,,432.0
321,,,,284.0
322,,,,177.0
323,,,,349.0
324,,,,180.0
325,,,,
326,220.0,857.0,,
327,,,,
328,,,,
329,,,,
330,,,,
331,,,,
332,,,,297.0
333,,,,
334,,,,201.0
335,470.0,,,486.0
336,,,,
337,,,,285.0
338,,,,222.0
339,,,,
340,,,,197.0
341,,,,194.0
342,,,,
343,,,,178.0
344,,,,519.0
345,,,,
346,,,,
347,,,,
348,,,,134.0
349,,,,
350,,,,254.0
351,,,,143.0
352,,,,
353,950.0,,,
354,,,,
355,,,,466.0
356,,,,188.0
357,,,,269.0
358,,,,209.0
359,,,,244.0
360,,,,
361,,,,
362,,,,344.0
363,,,,
364,,,,165.0
365,,,,292.0
366,,,,
367,,,,
368,,,,
369,,,,114.0
370,,,,207.0
371,,,,
372,,,,
373,,,,149.0
374,,,,404.0
375,,,,
376,,,,445.0
377,,,,
378,,,,287.0
379,,,,
380,,,,401.0
381,,,,
382,,,,96.0
383,,,,310.0
384,,,,134.0
385,,,,
386,,,,
387,,,,
388,,,,246.0
389,,,,
390,,,,538.0
391,,,,188.0
392,,,,
393,,,,116.0
394,,,,
395,,,,
396,,,,181.0
397,,,,
398,,,,
399,,,,
400,,,,217.0
401,,,,128.0
402,,,,
403,,,,
404,,,,
405,,,,
406,,,,474.0
407,,,,201.0
408,,,,
409,,,,
410,,,,325.0
411,,,,219.0
412,539.0,,,
413,,,,
414,,,,
415,,,,
416,,,,123.0
417,,,,
418,,,,300.0
419,,,,226.0
420,,,,89.0
421,,,,232.0
422,,,,109.0
423,,,,
424,,,,161.0
425,,,,308.0
426,,,,310.0
427,,,,157.0
428,,,,
429,,,,
430,,,,352.0
431,,,,
432,,,,
433,,,,
434,,,,269.0
435,,,,
436,,,,
437,,407.0,,460.0
438,,,,218.0
439,,,,
440,,,,183.0
441,,,,
442,,,,
443,,,,450.0
444,,,,116.0
445,,,,
446,,,,176.0
447,,,,101.0
448,,,,
449,,,,302.0
450,,,,133.0
451,,,,
452,,,,350.0
453,,,,211.0
454,456.0,,,
455,,,,195.0
456,,,,
457,,,,
458,,597.0,,369.0
459,,,,150.0
460,,,,
461,,,,208.0
462,,,,
463,,,,
464,,368.0,,150.0
465,,,,
466,,,,
467,,,,
468,,,,
469,,,,307.0
470,,,,
471,,,,182.0
472,,,,127.0
473,,,,196.0
474,,,,
475,,,,152.0
476,,,,
477,,,,334.0
478,,,,
479,,,,
480,,,,191.0
481,,,,
482,,,,216.0
483,,,,184.0
484,,,,281.0
485,,,,559.0
486,,,,262.0
487,,595.0,,
488,,,,128.0
489,,,,294.0
490,,,,105.0
491,,,,139.0
492,,,,
493,,,,224.0
494,,,,116.0
495,,,,156.0
496,,,,
497,,,,348.0
498,,,,199.0
499,,,,353.0
500,,,,
501,,,,
502,,,,425.0
503,,,,268.0
504,,,,
505,,,,
506,,,,230.0
507,,,,266.0
508,,,,275.0
509,,,,
510,,,,310.0
511,,,,327.0
512,,,,
513,,,,86.0
514,,,,113.0
515,,,,
516,,,,
517,,,,411.0
518,,,,
519,,,,141.0
520,,,,118.0
521,,,,
522,,,,
523,,,,
524,,,,
525,1146.0,,,206.0
526,,,,171.0
527,,,,145.0
528,,,,
529,,,,336.0
530,,,,483.0
531,,,,
532,,,,
533,,,,211.0
534,,,,
535,,,,148.0
536,,519.0,,
537,,,,452.0
538,,,,318.0
539,,362.0,,316.0
540,,311.0,,
541,,,,426.0
542,,,,104.0
543,,,,
544,,,,225.0
545,,,,289.0
546,,,,216.0
547,,,,142.0
548,,,,459.0
549,,,,
550,,,,
551,,,,266.0
552,,,,177.0
553,,,,
554,,,,322.0
555,,,,147.0
556,,,,
557,,,,279.0
558,,,,209.0
559,,,,
560,,,,
561,,,,
562,,,,100.0
563,,,,229.0
564,,,,
565,,,,153.0
566,,,,130.0
567,,,,239.0
568,,,,122.0
569,,,,244.0
570,,,,344.0
571,,,,
572,,,,119.0
573,,,,408.0
574,,,,162.0
575,,,,
576,,,,
577,,,,246.0
578,,,,
579,,,,156.0
580,,,,122.0
581,,,,
582,,,,184.0
583,,,,
584,531.0,,,409.0
585,,,,134.0
586,,,,156.0
587,,,,611.0
588,,183.0,,211.0
589,,,,
590,,,,
591,,,,
592,,,,216.0
593,,,,
594,,,,
595,,,,124.0
596,,,,160.0
597,,,,131.0
598,,859.0,,
599,,,,
600,,,,
601,,,,
602,,,,
603,,,,
604,,,,317.0
605,,,,226.0
606,,,,
607,,,,264.0
608,,,,
609,619.0,,,
610,,,,117.0
611,,,,
612,303.0,,,127.0
613,,,,177.0
614,338.0,,,
615,,,,215.0
616,,,,302.0
617,,,,248.0
618,,,,
619,,,,212.0
620,,,,
621,,,,
622,,,,
623,,,,191.0
624,234.0,,,354.0
625,,,,
626,,,,146.0
627,,,,454.0
628,,,,117.0
629,,,,248.0
630,,,,337.0
631,,,,446.0
632,,,,138.0
633,,,,
634,,,,376.0
635,,,,149.0
636,,,,
637,,,,
638,,,,
639,,,,72.0
640,,,,462.0
641,,,,
642,,,,236.0
643,,,,
644,,,,118.0
645,,,,128.0
646,,,,381.0
647,,,,
648,,,,
649,,,,152.0
650,,,,
651,,,,224.0
652,,,,148.0
653,,,,228.0
654,,,,
655,,,,
656,,,,
657,,,,223.0
658,,,,
659,,,,169.0
660,,,,122.0
661,,,,
662,,,,279.0
663,,,,286.0
664,,,,584.0
665,,,,189.0
666,,,,213.0
667,,,,
668,,,,
669,,,,154.0
670,,,,158.0
671,,,,
672,,,,156.0
673,,,,151.0
674,,,,357.0
675,,,,
676,,,,
677,,,,297.0
678,,,,
679,,,,377.0
680,,,,259.0
681,,,,155.0
682,,,,130.0
683,,384.0,,
684,,,,
685,,,,237.0
686,,,,
687,,,,261.0
688,,,,
689,,,,
690,,,,170.0
691,,,,193.0
692,,,,
693,,,,
694,,,,
695,,,,114.0
696,,,,
697,,,,
698,,,,
699,,,,
700,,,,128.0
701,,,,
702,,,,
703,,,,254.0
704,,,,208.0
705,,,,296.0
706,,,,
707,,,,
708,,,,
709,,,,153.0
710,,,,
711,,,,210.0
712,,,,393.0
713,,,,299.0
714,,235.0,,
715,,,,231.0
716,,,,
717,,,,
718,,,,178.0
719,,,,151.0
720,,,,115.0
721,,,,
722,,,,157.0
723,,,,
724,,,,173.0
725,,,,133.0
726,,,,
727,,,,
728,,,,748.0
729,,,,215.0
730,,,,158.0
731,,,,443.0
732,,,,285.0
733,,,,147.0
734,,,,
735,,,,253.0
736,,,,127.0
737,,,,157.0
738,,,,224.0
739,,,,
740,,,,111.0
741,,,,204.0
742,,,,175.0
743,,,,375.0
744,,,,
745,,,,413.0
746,,,,179.0
747,,,,234.0
748,,,,208.0
749,,,,
750,,,,124.0
751,,,,102.0
752,,,,
753,,,,
754,,,,
755,,,,
756,,,,111.0
757,,,,
758,,,,128.0
759,,,,117.0
760,,,,
761,,,,186.0
762,,,,448.0
763,,,,452.0
764,,,,243.0
765,,,,
766,,,,
767,,,,
768,,,,
769,,,,286.0
770,,,,143.0
771,,,,
772,,,,
773,,,,
774,,,,
775,,,,
776,,,,118.0
777,,,,
778,,,,187.0
779,,,,385.0
780,,,,368.0
781,,,,
782,,,,368.0
783,,,,103.0
784,,,,
785,,,,
786,,,,142.0
787,,,,
788,237.0,,,
789,,,,220.0
790,,774.0,,197.0
791,,,,308.0
792,,,,
793,,,,164.0
794,,,,
795,,,,366.0
796,,,,432.0
797,,,,194.0
798,,,,
799,,,,240.0
800,,,,316.0
801,,,,
802,,,,242.0
803,,,,
804,,,,180.0
805,,,,
806,,,,147.0
807,,,,
808,,,,237.0
809,,,,
810,,,,
811,,,,79.0
812,,,,203.0
813,,,,
814,,,,288.0
815,,,,445.0
816,,,,281.0
817,,,,149.0
818,,,,272.0
819,,,,197.0
820,,,,
821,,,,
822,,,,208.0
823,,,,
824,,,,189.0
825,,,,414.0
826,,,,
827,,,,226.0
828,,,,411.0
829,,,,362.0
830,,,,
831,,,,308.0
832,,,,
833,,,,
834,,,,
835,,,,
836,,,,
837,,,,
838,,,,
839,,,,258.0
840,,,,464.0
841,,,,613.0
842,,,,
843,,519.0,,188.0
844,,,,200.0
845,,,,265.0
846,,,,276.0
847,,,,156.0
848,,,,
849,702.0,,,
850,,,,
851,,,,
852,,,,151.0
853,,,,292.0
854,,,,262.0
855,,,,
856,270.0,,,84.0
857,,,,155.0
858,,,,
859,,,,
860,,,,
861,,,,290.0
862,,,,
863,,,,102.0
864,,,,133.0
865,,,,
866,,,,
867,,,,475.0
868,,904.0,,411.0
869,,,,
870,,,,155.0
871,,,,282.0
872,,,,278.0
873,286.0,,,
874,,,,226.0
875,,,,
876,,,,
877,,,,233.0
878,,384.0,,
879,,,,200.0
880,,,,218.0
881,,,,
882,,,,176.0
883,,,,
884,,,,280.0
885,,313.0,,
886,,,,482.0
887,,,,
888,,,,
889,,,,202.0
890,,,,
891,,,,152.0
892,,,,255.0
893,,,,173.0
894,,,,
895,,,,
896,,,,
897,,,,193.0
898,,,,276.0
899,,,,
900,,,,
901,,364.0,,258.0
902,,,,175.0
903,,,,126.0
904,,,,
905,,223.0,,
906,,,,
907,,,,162.0
908,,,,
909,,,,226.0
910,,,,
911,,,,194.0
912,,,,290.0
913,,,,
914,,,,278.0
915,,,,
916,,,,137.0
917,,,,205.0
918,,,,
919,,,,
920,,,,
921,,,,
922,,,,
923,,,,
924,,,,288.0
925,,,,93.0
926,,,,
927,,,,
928,,499.0,,210.0
929,,,,241.0
930,,,,189.0
931,,,,
932,,,,
933,,,,296.0
934,,,,320.0
935,,,,492.0
936,,,,
937,,,,110.0
938,,,,104.0
939,,,,
940,,,,82.0
941,,,,280.0
942,,,,
943,,,,253.0
944,,,,
945,,,,
946,,,,
947,,,,420.0
948,,,,
949,,,,130.0
950,,,,303.0
951,,,,317.0
952,,,,244.0
953,,,,137.0
954,,,,
955,,,,
956,,,,220.0
957,,,,222.0
958,,,,
959,,,,
960,,,,
961,,,,100.0
962,,,,254.0
963,,,,
964,,,,453.0
965,,,,
966,,,,101.0
967,,,,208.0
968,,,,
969,,,,
970,,,,186.0
971,,,,129.0
972,,,,192.0
973,,,,
974,,,,
975,,,,
976,,,,
977,,,,261.0
978,,,,111.0
979,,,,438.0
980,,,,204.0
981,,,,
982,,,,
983,,,,179.0
984,,,,161.0
985,,,,
986,,,,120.0
987,,666.0,,
988,,,,192.0
989,,,,236.0
990,,,,
991,,,,
992,,,,
993,,,,
994,,,,
995,,,,166.0
996,,,,
997,,,,161.0
998,,,,
999,392.0,,,
1000,,,,301.0
1001,,,,114.0
1002,,,,
1003,,,,
1004,,,,199.0
1005,,,,
1006,,,,124.0
1007,,,,
1008,,,,102.0
1009,,,,266.0
1010,,,,
1011,,,,190.0
1012,,,,270.0
1013,,,,
1014,,495.0,,146.0
1015,,,,308.0
1016,,,,
1017,,,,
1018,,,,
1019,,,,167.0
1020,,,,
1021,,,,
1022,,,,
1023,,,,298.0
1024,,,,
1025,,,,
1026,,,,334.0
1027,,,,
1028,,,,
1029,,,,
1030,,,,201.0
1031,,,,
1032,,,,
1033,,,,566.0
1034,,,,
1035,,,,
1036,,,,
1037,,,,
1038,,,,
1039,,,,113.0
1040,,,,
1041,,,,119.0
1042,,,,
1043,,,,
1044,,,,
1045,,,,142.0
1046,,,,
1047,,224.0,,156.0
1048,,,,179.0
1049,,,,207.0
1050,,,,
1051,,,,121.0
1052,593.0,,,365.0
1053,,,,110.0
1054,,,,339.0
1055,,,,77.0
1056,,,,
1057,,,,265.0
1058,,,,268.0
1059,,,,
1060,,,,163.0
1061,,,,167.0
1062,,,,177.0
1063,,,,141.0
1064,,,,132.0
1065,,,,
1066,,,,
1067,,,,213.0
1068,,,,
1069,,,,
1070,,,,
1071,,,,121.0
1072,,,,131.0
1073,,,,203.0
1074,,,,
1075,,,,
1076,,,,
1077,,,,188.0
1078,,,,
1079,,,,
1080,,,,297.0
1081,,,,106.0
1082,,,,
1083,378.0,,,135.0
1084,,,,
1085,,,,
1086,,,,145.0
1087,,,,355.0
1088,,,,
1089,,,,103.0
1090,,,,219.0
1091,,,,
1092,,,,
1093,,,,335.0
1094,,,,
1095,,,,426.0
1096,,,,186.0
1097,,,,209.0
1098,,,,293.0
1099,,,,
1100,,,,
1101,,,,227.0
1102,384.0,,,199.0
1103,,,,170.0
1104,,,,
1105,,,,93.0
1106,,,,349.0
1107,,,,
1108,,,,
1109,,,,214.0
1110,,,,286.0
1111,,,,180.0
1112,,,,97.0
1113,,529.0,,
1114,,,,
1115,,,,
1116,,,,388.0
1117,,,,
1118,,,,
1119,,,,229.0
1120,,,,442.0
1121,,,,293.0
1122,,,,
1123,,,,205.0
1124,,,,292.0
1125,,,,239.0
1126,,,,162.0
1127,,,,187.0
1128,,,,242.0
1129,,,,103.0
1130,,,,
1131,,,,314.0
1132,,,,240.0
1133,,,,177.0
1134,,,,
1135,,,,317.0
1136,,,,258.0
1137,,,,691.0
1138,,,,233.0
1139,,,,147.0
1140,,328.0,,
1141,,,,
1142,,,,222.0
1143,,,,142.0
1144,,,,
1145,,,,
1146,,,,172.0
1147,,,,383.0
1148,,,,225.0
1149,,,,
1150,,,,177.0
1151,,,,141.0
1152,,,,122.0
1153,,,,175.0
1154,,,,
1155,,,,292.0
1156,,,,
1157,,,,
1158,,,,224.0
1159,,,,84.0
1160,,,,231.0
1161,,,,231.0
1162,,,,
1163,,,,223.0
1164,,,,891.0
1165,,,,125.0
1166,,,,
1167,,,,403.0
1168,,,,
1169,,,,115.0
1170,,,,236.0
1171,,,,169.0
1172,,,,
1173,525.0,,,294.0
1174,,,,
1175,,,,
1176,,,,270.0
1177,,,,
1178,,,,374.0
1179,,,,
1180,,,,258.0
1181,,,,
1182,,,,
1183,,,,
1184,,,,
1185,,,,143.0
1186,,,,
1187,,,,
1188,,,,217.0
1189,,,,
1190,,,,123.0
1191,,,,
1192,,,,
1193,,,,
1194,,,,
1195,,,,263.0
1196,,,,101.0
1197,,,,129.0
1198,,,,141.0
1199,,,,378.0
1200,262.0,,,160.0
1201,,,,
1202,,,,
1203,,,,124.0
1204,,,,
1205,,,,
1206,,,,237.0
1207,,,,
1208,,,,129.0
1209,,,,155.0
1210,,,,
1211,,,,
1212,,,,116.0
1213,,,,
1214,,,,206.0
1215,,,,
1216,,,,
1217,,,,400.0
1218,,,,266.0
1219,,,,
1220,,,,
1221,,,,
1222,,,,329.0
1223,,1034.0,,
1224,,,,174.0
1225,,,,
1226,,,,
1227,,,,
1228,,,,80.0
1229,253.0,,,
1230,,,,154.0
1231,,,,
1232,,,,92.0
1233,,,,
1234,,,,111.0
1235,,,,289.0
1236,,,,
1237,,,,143.0
1238,,,,
1239,,,,145.0
1240,,,,
1241,,,,
1242,,,,
1243,,,,
1244,,,,
1245,,,,
1246,,,,
1247,,,,
1248,,,,154.0
1249,,,,196.0
1250,,,,
1251,,,,550.0
1252,,,,
1253,,,,218.0
1254,,,,390.0
1255,,,,153.0
1256,,,,
1257,,,,
1258,,,,
1259,,,,
1260,,,,
1261,,,,365.0
1262,,,,142.0
1263,,,,270.0
1264,,,,493.0
1265,,,,
1266,,,,
1267,,,,175.0
1268,,,,123.0
1269,,,,191.0
1270,,,,169.0
1271,,,,268.0
1272,,,,103.0
1273,,,,205.0
1274,,,,
1275,,277.0,,
1276,,,,615.0
1277,,,,
1278,,,,208.0
1279,,,,109.0
1280,700.0,,,
1281,,,,
1282,,,,443.0
1283,,,,94.0
1284,,,,183.0
1285,,,,
1286,477.0,,,139.0
1287,,,,174.0
1288,,,,278.0
1289,,,,
1290,,,,
1291,,,,231.0
1292,,,,
1293,,,,
1294,298.0,,,534.0
1295,,,,
1296,,,,
1297,,,,
1298,,,,175.0
1299,,,,183.0
1300,,,,230.0
1301,,,,92.0
1302,,,,
1303,,,,
1304,,,,
1305,,,,122.0
1306,,,,273.0
1307,,,,342.0
1308,,,,206.0
1309,,,,
1310,,,,155.0
1311,,,,
1312,,,,899.0
1313,,,,
1314,,,,279.0
1315,,,,
1316,,,,163.0
1317,,,,400.0
1318,,,,85.0
1319,,,,483.0
1320,,,,221.0
1321,,,,83.0
1322,,,,
1323,,,,
1324,,,,
1325,,,,
1326,,,,
1327,,,,
1328,,,,
1329,,,,250.0
1330,,,,253.0
1331,,,,
1332,,,,182.0
1333,,,,
1334,,,,
1335,,,,
1336,998.0,,,
1337,,,,469.0
1338,,,,106.0
1339,,,,
1340,,,,160.0
1341,,,,115.0
1342,272.0,,,499.0
1343,,,,253.0
1344,,,,
1345,,,,
1346,,524.0,,
1347,,,,202.0
1348,,,,
1349,,,,168.0
1350,,,,211.0
1351,,,,
1352,,,,
1353,,,,187.0
1354,,,,
1355,,,,
1356,,,,336.0
1357,,,,128.0
1358,,,,
1359,,,,368.0
1360,,,,
1361,,,,
1362,,,,
1363,,,,109.0
1364,,,,120.0
1365,,,,
1366,,,,
1367,,,,194.0
1368,,,,
1369,,,,217.0
1370,,,,
1371,,,,217.0
1372,,,,
1373,,,,395.0
1374,,,,
1375,,,,156.0
1376,,,,
1377,,,,
1378,,,,
1379,,,,
1380,,,,
1381,,,,130.0
1382,,,,
1383,,345.0,,178.0
1384,,,,187.0
1385,,,,
1386,,,,
1387,,,,
1388,,,,224.0
1389,,,,182.0
1390,,,,
1391,,,,218.0
1392,,,,
1393,,,,260.0
1394,,,,137.0
1395,,,,212.0
1396,,826.0,,
1397,,,,
1398,,493.0,,395.0
1399,,,,375.0
1400,,,,540.0
1401,,,,
1402,,,,467.0
1403,,,,
1404,,,,
1405,,,,149.0
1406,,,,224.0
1407,,,,
1408,,,,139.0
1409,,,,
1410,,,,382.0
1411,,,,189.0
1412,,,,173.0
1413,,,,
1414,,,,
1415,,,,
1416,,635.0,,
1417,,,,104.0
1418,,,,
1419,,,,
1420,,,,
1421,,,,
1422,,288.0,,
1423,,,,462.0
1424,,,,
1425,,,,
1426,,,,
1427,,,,
1428,,,,
1429,,,,151.0
1430,,,,
1431,,,,300.0
1432,,,,238.0
1433,,,,113.0
1434,,,,
1435,,,,
1436,,,,327.0
1437,,279.0,,
1438,,,,
1439,,,,489.0
1440,,,,228.0
1441,,,,
1442,,,,220.0
1443,,,,153.0
1444,,,,235.0
1445,,,,182.0
1446,,,,251.0
1447,,,,
1448,,,,142.0
1449,,,,
1450,,,,116.0
1451,396.0,,,
1452,,,,
1453,,,,212.0
1454,,,,188.0
1455,,,,
1456,,,,
1457,,,,
1458,,,,123.0
1459,,,,191.0
1460,,,,
1461,,,,
1462,,,,210.0
1463,,,,309.0
1464,,,,
1465,,,,134.0
1466,,,,
1467,,,,
1468,,,,130.0
1469,,,,140.0
1470,,,,
1471,,,,446.0
1472,,,,
1473,251.0,,,
1474,,,,
1475,,,,245.0
1476,,,,
1477,,,,
1478,,,,
1479,,,,
1480,,,,
1481,,,,
1482,,,,
1483,,,,84.0
1484,,,,264.0
1485,,,,
1486,,,,278.0
1487,,,,
1488,,,,189.0
1489,,,,328.0
1490,,,,143.0
1491,,,,
1492,,,,322.0
1493,,,,
1494,,,,
1495,,,,
1496,,,,
1497,,,,
1498,,,,
1499,,,,
