,type0,type1,type2,type3
681,,101.0,,67.0
682,,,,61.0
683,,190.0,,90.0
684,,,,
685,,,,116.0
686,,,,
687,63.0,145.0,,193.0
688,193.0,,,
689,288.0,,,
690,,,,111.0
691,157.0,,,125.0
692,,,,32.0
693,,,,
694,,229.0,,
695,,386.0,,46.0
696,,,,79.0
697,,,,192.0
698,,,,
699,143.0,,,
700,,,,42.0
701,,,,67.0
702,68.0,,,138.0
703,,,,90.0
704,152.0,,,165.0
705,,,,23.0
706,,,,
707,,830.0,,85.0
708,,,,
709,,742.0,,94.0
710,190.0,,,
711,119.0,592.0,,52.0
712,89.0,,,189.0
713,,131.0,,73.0
714,,93.0,,86.0
715,,,,51.0
716,,,,63.0
717,,,,140.0
718,,,,69.0
719,,,,24.0
720,,,,39.0
721,57.0,,,
722,,561.0,,41.0
723,,,,123.0
724,,,,47.0
725,,,,24.0
726,,257.0,,136.0
727,,,,
728,,,,335.0
729,,,,157.0
730,340.0,,,82.0
731,,,,193.0
732,,,,70.0
733,,,,92.0
734,,279.0,,138.0
735,,278.0,,43.0
736,,,,60.0
737,,,,82.0
738,201.0,,,107.0
739,,,,
740,,1104.0,,27.0
741,,,,33.0
742,,,,38.0
743,,,,291.0
744,,,,
745,,,,175.0
746,,,,104.0
747,,,,73.0
748,,,,82.0
749,,,,53.0
750,547.0,,,63.0
751,235.0,,,34.0
752,,564.0,,173.0
753,,,,37.0
754,,,,150.0
755,,,,
756,25.0,,,50.0
757,,,,73.0
758,,,,74.0
759,1026.0,95.0,,38.0
760,202.0,,,70.0
761,147.0,792.0,,108.0
762,,,,245.0
763,,,,227.0
764,,,,154.0
765,,,,
766,,,,38.0
767,,,,
768,,,,
769,,,,136.0
770,,,,90.0
771,,425.0,,33.0
772,,,,
773,,,,89.0
774,,,,
775,122.0,,,
776,572.0,,,66.0
777,,,,64.0
778,,,,108.0
779,,,,91.0
780,,290.0,,146.0
781,,292.0,,
782,,,,60.0
783,,,,46.0
784,126.0,,,49.0
785,368.0,,,78.0
786,,,,83.0
787,,245.0,,
788,118.0,,,
789,333.0,,,79.0
790,,393.0,,62.0
791,,,,112.0
792,,177.0,,174.0
793,,,,38.0
794,,,,138.0
795,,,,301.0
796,,,,80.0
797,,,,59.0
798,,,,75.0
799,,,,77.0
800,,,,26.0
801,,,,63.0
802,,,,193.0
803,73.0,,,
804,,,,40.0
805,,,,148.0
806,,,,86.0
807,,,,92.0
808,,905.0,,77.0
809,157.0,,,115.0
810,,,,39.0
811,,,,25.0
812,,274.0,,58.0
813,,,,145.0
814,,,,242.0
815,,,,341.0
816,,,,120.0
817,,,,86.0
818,305.0,42.0,,136.0
819,,,,118.0
820,,,,106.0
821,,,,151.0
822,,,,41.0
823,,,,100.0
824,,,,101.0
825,67.0,,,199.0
826,657.0,699.0,,105.0
827,,,,161.0
828,,,,77.0
829,,,,107.0
830,,,,
831,,,,138.0
832,,,,
833,,355.0,,49.0
834,,,,132.0
835,,354.0,,
836,,,,74.0
837,,,,112.0
838,,,,54.0
839,,,,151.0
840,,,,273.0
841,,,,180.0
842,,,,66.0
843,718.0,34.0,,64.0
844,,,,44.0
845,,,,53.0
846,138.0,148.0,,108.0
847,,,,71.0
848,,,,
849,616.0,,,149.0
850,,156.0,,69.0
851,,338.0,,
852,,833.0,,84.0
853,,,,53.0
854,217.0,,,99.0
855,,,,29.0
856,121.0,131.0,,28.0
857,,,,60.0
858,325.0,314.0,,
859,203.0,,,
860,,359.0,,
861,,,,49.0
862,353.0,,,
863,,,,53.0
864,,,,66.0
865,466.0,193.0,,
866,,,,83.0
867,,,,296.0
868,,827.0,,102.0
869,,257.0,,
870,,,,104.0
871,,,,48.0
872,,,,154.0
873,70.0,,,
874,,373.0,,54.0
875,,186.0,,161.0
876,,429.0,,
877,232.0,,,103.0
878,,206.0,,43.0
879,114.0,,,100.0
880,,,,155.0
881,,1012.0,,21.0
882,,,,114.0
883,,474.0,,148.0
884,,265.0,,142.0
885,,143.0,,
886,104.0,,,98.0
887,82.0,,,219.0
888,,319.0,,
889,,,,94.0
890,,,,127.0
891,,285.0,,46.0
892,,,,51.0
893,,,,112.0
894,79.0,610.0,,
895,,,,73.0
896,,,,
897,,,,123.0
898,689.0,,,206.0
899,253.0,,,
900,,,,
901,,130.0,,88.0
902,,,,76.0
903,,,,72.0
904,,,,
905,,101.0,,137.0
906,,97.0,,173.0
907,,,,69.0
908,,,,
909,,,,161.0
910,,,,
911,,87.0,,125.0
912,,,,193.0
913,,,,42.0
914,183.0,,,134.0
915,,,,
916,,,,85.0
917,,94.0,,78.0
918,,,,53.0
919,,,,25.0
920,148.0,,,22.0
921,,,,83.0
922,,,,
923,,,,83.0
924,,,,64.0
925,,,,29.0
926,,,,107.0
927,,,,248.0
