,d6.67,d8.4,d10.58,d13.33,d16.8,d21.17,d26.67,d33.6,d42.33,d53.33,d67.2,d84.66
150,139.0,167.0,216.0,239.0,365.0,449.0,543.0,689.0,853.0,1103.0,1326.0,1730.0
151,160.0,159.0,222.0,248.0,330.0,426.0,514.0,658.0,879.0,1132.0,1437.0,1714.0
152,118.0,187.0,210.0,280.0,340.0,448.0,541.0,637.0,860.0,1104.0,1320.0,1770.0
153,111.0,173.0,221.0,268.0,382.0,441.0,572.0,732.0,908.0,1081.0,1455.0,1675.0
154,120.0,186.0,212.0,264.0,375.0,429.0,555.0,706.0,828.0,1066.0,1362.0,1730.0
155,128.0,137.0,217.0,282.0,324.0,444.0,505.0,648.0,905.0,1101.0,1380.0,1790.0
156,163.0,185.0,210.0,240.0,349.0,450.0,555.0,707.0,876.0,1074.0,1358.0,1703.0
157,155.0,160.0,226.0,306.0,313.0,402.0,524.0,658.0,840.0,1081.0,1299.0,1733.0
158,137.0,174.0,203.0,274.0,319.0,454.0,555.0,674.0,848.0,1141.0,1326.0,1708.0
159,142.0,169.0,221.0,277.0,303.0,442.0,560.0,660.0,851.0,1145.0,1365.0,1740.0
160,131.0,163.0,204.0,282.0,349.0,431.0,522.0,703.0,883.0,1094.0,1386.0,1714.0
161,116.0,193.0,197.0,262.0,305.0,413.0,548.0,662.0,845.0,1017.0,1448.0,1788.0
162,162.0,167.0,204.0,254.0,326.0,440.0,559.0,687.0,868.0,1076.0,1452.0,1771.0
163,136.0,177.0,248.0,264.0,354.0,418.0,529.0,672.0,884.0,1062.0,1400.0,1775.0
164,140.0,161.0,224.0,270.0,338.0,415.0,525.0,662.0,868.0,1144.0,1389.0,1777.0
165,132.0,179.0,228.0,289.0,339.0,406.0,528.0,687.0,848.0,1073.0,1405.0,1675.0
166,142.0,176.0,221.0,247.0,346.0,406.0,536.0,672.0,849.0,1102.0,1390.0,1693.0
167,149.0,159.0,217.0,274.0,375.0,446.0,546.0,661.0,865.0,1077.0,1425.0,1779.0
168,138.0,199.0,228.0,250.0,338.0,413.0,584.0,700.0,865.0,1070.0,1401.0,1730.0
169,110.0,167.0,198.0,303.0,314.0,450.0,543.0,630.0,893.0,1021.0,1446.0,1791.0
170,132.0,183.0,202.0,269.0,369.0,423.0,509.0,708.0,872.0,1032.0,1350.0,1733.0
171,132.0,173.0,227.0,267.0,353.0,445.0,552.0,673.0,856.0,1077.0,1374.0,1771.0
172,141.0,190.0,217.0,283.0,365.0,415.0,540.0,698.0,899.0,1107.0,1426.0,1690.0
173,132.0,172.0,210.0,261.0,319.0,433.0,556.0,725.0,846.0,1068.0,1365.0,1750.0
174,138.0,176.0,203.0,287.0,302.0,424.0,544.0,650.0,915.0,1082.0,1299.0,1774.0
175,159.0,177.0,212.0,289.0,355.0,435.0,510.0,718.0,898.0,1087.0,1402.0,1711.0
176,118.0,178.0,216.0,262.0,335.0,400.0,526.0,678.0,851.0,1098.0,1339.0,1774.0
177,136.0,163.0,199.0,283.0,328.0,432.0,513.0,649.0,869.0,1091.0,1371.0,1724.0
178,148.0,172.0,191.0,265.0,346.0,473.0,565.0,736.0,818.0,1102.0,1394.0,1795.0
179,122.0,181.0,198.0,266.0,337.0,442.0,541.0,699.0,853.0,1068.0,1483.0,1732.0
180,133.0,148.0,260.0,295.0,360.0,445.0,526.0,713.0,938.0,1088.0,1325.0,1798.0
181,124.0,171.0,177.0,276.0,331.0,438.0,622.0,661.0,868.0,1077.0,1352.0,1698.0
182,145.0,183.0,247.0,273.0,351.0,431.0,553.0,709.0,847.0,1084.0,1355.0,1789.0
183,147.0,157.0,222.0,273.0,346.0,448.0,574.0,710.0,868.0,1141.0,1373.0,1740.0
184,136.0,179.0,228.0,258.0,354.0,416.0,552.0,709.0,843.0,1107.0,1329.0,1722.0
185,117.0,160.0,227.0,301.0,353.0,469.0,569.0,715.0,870.0,1125.0,1357.0,1751.0
186,132.0,165.0,200.0,266.0,306.0,439.0,607.0,656.0,909.0,1076.0,1350.0,1707.0
187,141.0,165.0,209.0,281.0,355.0,409.0,546.0,744.0,895.0,1111.0,1369.0,1759.0
188,120.0,165.0,216.0,262.0,309.0,453.0,523.0,690.0,880.0,1111.0,1392.0,1689.0
189,129.0,191.0,225.0,247.0,352.0,439.0,547.0,707.0,917.0,1089.0,1413.0,1793.0
190,135.0,190.0,197.0,296.0,355.0,468.0,535.0,712.0,907.0,1096.0,1408.0,1696.0
191,121.0,174.0,233.0,282.0,344.0,461.0,575.0,672.0,866.0,1081.0,1420.0,1746.0
192,129.0,176.0,205.0,257.0,337.0,413.0,526.0,724.0,909.0,1137.0,1357.0,1716.0
193,134.0,173.0,205.0,275.0,361.0,424.0,600.0,665.0,866.0,1133.0,1387.0,1752.0
194,138.0,173.0,214.0,264.0,333.0,428.0,545.0,664.0,890.0,1155.0,1341.0,1697.0
195,142.0,172.0,239.0,255.0,368.0,438.0,550.0,663.0,906.0,1101.0,1327.0,1801.0
196,139.0,162.0,231.0,278.0,341.0,438.0,602.0,708.0,869.0,1133.0,1371.0,1830.0
197,157.0,159.0,212.0,281.0,338.0,472.0,561.0,698.0,857.0,1098.0,1390.0,1726.0
198,133.0,165.0,197.0,302.0,323.0,467.0,548.0,692.0,842.0,1155.0,1423.0,1729.0
199,140.0,166.0,222.0,257.0,361.0,440.0,539.0,695.0,905.0,1081.0,1373.0,1762.0
200,135.0,169.0,218.0,269.0,330.0,447.0,545.0,670.0,877.0,1094.0,1386.0,1745.0
201,133.0,183.0,263.0,255.0,354.0,439.0,525.0,660.0,884.0,1147.0,1341.0,1713.0
202,142.0,177.0,202.0,255.0,363.0,407.0,539.0,706.0,873.0,1078.0,1365.0,1778.0
203,136.0,168.0,228.0,260.0,354.0,415.0,543.0,687.0,838.0,1140.0,1314.0,1707.0
204,128.0,145.0,180.0,279.0,351.0,408.0,574.0,708.0,815.0,1047.0,1440.0,1742.0
205,131.0,159.0,211.0,282.0,345.0,418.0,588.0,709.0,855.0,1110.0,1388.0,1754.0
206,134.0,145.0,193.0,262.0,337.0,462.0,559.0,728.0,881.0,1096.0,1402.0,1652.0
207,140.0,161.0,230.0,268.0,359.0,407.0,561.0,683.0,867.0,1115.0,1391.0,1684.0
208,146.0,145.0,208.0,265.0,352.0,387.0,581.0,690.0,896.0,1102.0,1342.0,1696.0
209,125.0,173.0,229.0,290.0,329.0,428.0,522.0,700.0,889.0,1099.0,1412.0,1697.0
210,150.0,192.0,223.0,270.0,314.0,423.0,552.0,670.0,855.0,1081.0,1372.0,1775.0
211,142.0,180.0,229.0,255.0,353.0,423.0,556.0,670.0,870.0,1113.0,1356.0,1704.0
212,143.0,171.0,211.0,289.0,346.0,443.0,559.0,669.0,875.0,1120.0,1399.0,1709.0
213,145.0,167.0,200.0,250.0,327.0,467.0,541.0,647.0,899.0,1028.0,1318.0,1697.0
214,127.0,167.0,192.0,254.0,357.0,409.0,534.0,700.0,841.0,1086.0,1367.0,1684.0
215,149.0,188.0,207.0,254.0,349.0,440.0,562.0,742.0,875.0,1098.0,1368.0,1815.0
216,120.0,165.0,200.0,286.0,348.0,427.0,541.0,668.0,862.0,1066.0,1394.0,1766.0
217,143.0,170.0,231.0,297.0,345.0,436.0,545.0,634.0,892.0,1137.0,1322.0,1765.0
218,132.0,177.0,211.0,263.0,348.0,411.0,561.0,681.0,883.0,1090.0,1347.0,1774.0
219,144.0,161.0,223.0,285.0,310.0,431.0,508.0,674.0,840.0,1089.0,1417.0,1710.0
220,107.0,158.0,186.0,288.0,359.0,412.0,496.0,707.0,852.0,1091.0,1414.0,1770.0
221,143.0,163.0,240.0,282.0,353.0,471.0,555.0,680.0,844.0,1086.0,1426.0,1721.0
222,140.0,182.0,193.0,287.0,337.0,422.0,557.0,683.0,882.0,1104.0,1314.0,1841.0
223,136.0,192.0,200.0,271.0,329.0,417.0,556.0,639.0,890.0,1119.0,1457.0,1716.0
