,d6.67,d8.4,d10.58,d13.33,d16.8,d21.17,d26.67,d33.6,d42.33,d53.33,d67.2,d84.66
111,3.0,3.0,3.0,4.0,5.0,4.0,7.0,306.0,419.0,518.0,636.0,763.0
112,3.0,3.0,3.0,4.0,3.0,105.0,340.0,315.0,383.0,710.0,850.0,1500.0
113,3.0,3.0,4.0,4.0,4.0,5.0,4.0,404.0,638.0,429.0,739.0,1285.0
114,3.0,3.0,4.0,4.0,4.0,290.0,6.0,130.0,491.0,419.0,1166.0,1244.0
115,3.0,3.0,3.0,3.0,4.0,5.0,4.0,436.0,395.0,561.0,747.0,1116.0
116,3.0,3.0,3.0,3.0,4.0,5.0,5.0,250.0,518.0,550.0,660.0,644.0
117,3.0,3.0,4.0,4.0,4.0,4.0,7.0,490.0,556.0,727.0,584.0,1212.0
118,3.0,3.0,3.0,4.0,4.0,5.0,5.0,107.0,534.0,913.0,792.0,1165.0
119,3.0,3.0,4.0,3.0,4.0,213.0,5.0,676.0,330.0,641.0,1060.0,1500.0
120,3.0,3.0,4.0,4.0,4.0,4.0,367.0,533.0,532.0,828.0,674.0,1161.0
121,3.0,3.0,4.0,4.0,6.0,5.0,372.0,410.0,447.0,495.0,716.0,989.0
122,2.0,4.0,4.0,4.0,4.0,5.0,5.0,59.0,556.0,955.0,711.0,725.0
123,3.0,4.0,4.0,4.0,4.0,5.0,5.0,389.0,790.0,583.0,385.0,1406.0
124,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,379.0,454.0,749.0,695.0
125,3.0,3.0,3.0,4.0,5.0,5.0,5.0,420.0,539.0,643.0,622.0,803.0
126,3.0,3.0,4.0,4.0,4.0,4.0,5.0,369.0,399.0,1062.0,999.0,830.0
127,3.0,3.0,5.0,4.0,3.0,5.0,208.0,324.0,247.0,973.0,942.0,918.0
128,2.0,4.0,4.0,3.0,4.0,4.0,5.0,6.0,701.0,1013.0,619.0,1217.0
129,3.0,3.0,3.0,4.0,4.0,4.0,5.0,478.0,337.0,573.0,948.0,1103.0
130,3.0,3.0,7.0,4.0,4.0,4.0,351.0,269.0,410.0,504.0,698.0,1500.0
131,3.0,3.0,4.0,3.0,5.0,4.0,113.0,271.0,510.0,885.0,734.0,896.0
132,3.0,3.0,3.0,3.0,4.0,5.0,55.0,166.0,758.0,582.0,679.0,1500.0
133,3.0,4.0,3.0,3.0,4.0,4.0,351.0,6.0,520.0,987.0,995.0,1500.0
134,3.0,3.0,3.0,3.0,4.0,4.0,307.0,341.0,543.0,524.0,853.0,1500.0
135,3.0,3.0,3.0,4.0,4.0,5.0,4.0,401.0,645.0,943.0,721.0,775.0
136,3.0,3.0,4.0,4.0,4.0,5.0,264.0,6.0,448.0,593.0,519.0,733.0
137,2.0,3.0,3.0,4.0,4.0,5.0,261.0,308.0,553.0,634.0,469.0,985.0
138,3.0,3.0,3.0,4.0,4.0,5.0,378.0,232.0,657.0,564.0,1079.0,1203.0
139,3.0,3.0,4.0,4.0,4.0,5.0,220.0,273.0,490.0,667.0,940.0,717.0
140,3.0,3.0,4.0,4.0,4.0,4.0,377.0,5.0,525.0,701.0,782.0,830.0
141,3.0,3.0,4.0,3.0,4.0,4.0,20.0,198.0,391.0,806.0,713.0,901.0
142,3.0,3.0,4.0,4.0,4.0,4.0,5.0,260.0,692.0,1032.0,679.0,1037.0
143,3.0,3.0,3.0,4.0,4.0,4.0,284.0,462.0,576.0,645.0,729.0,786.0
144,3.0,4.0,3.0,3.0,3.0,5.0,5.0,362.0,417.0,1061.0,1377.0,783.0
145,3.0,3.0,3.0,4.0,4.0,4.0,359.0,472.0,427.0,698.0,739.0,1339.0
146,3.0,4.0,4.0,3.0,4.0,4.0,5.0,252.0,505.0,529.0,863.0,1169.0
147,3.0,3.0,3.0,4.0,4.0,4.0,373.0,321.0,343.0,376.0,703.0,934.0
148,3.0,5.0,4.0,4.0,196.0,4.0,234.0,272.0,402.0,646.0,437.0,1039.0
149,3.0,3.0,3.0,4.0,4.0,4.0,4.0,422.0,425.0,534.0,941.0,1066.0
150,3.0,4.0,3.0,4.0,4.0,181.0,6.0,474.0,497.0,652.0,826.0,1125.0
151,4.0,3.0,3.0,4.0,4.0,4.0,238.0,5.0,605.0,450.0,1054.0,1132.0
152,3.0,3.0,3.0,4.0,4.0,234.0,4.0,204.0,574.0,1036.0,920.0,772.0
153,3.0,3.0,3.0,4.0,5.0,263.0,5.0,512.0,564.0,677.0,942.0,1055.0
154,3.0,3.0,3.0,4.0,196.0,4.0,5.0,528.0,570.0,589.0,661.0,893.0
155,3.0,3.0,3.0,5.0,4.0,4.0,290.0,305.0,469.0,678.0,693.0,1018.0
156,3.0,3.0,4.0,5.0,4.0,5.0,355.0,368.0,425.0,911.0,1034.0,1454.0
157,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,487.0,1054.0,825.0,712.0
158,3.0,3.0,4.0,4.0,4.0,212.0,5.0,314.0,337.0,553.0,1008.0,953.0
159,3.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,301.0,414.0,1047.0,627.0
160,3.0,3.0,4.0,4.0,4.0,4.0,132.0,352.0,324.0,548.0,764.0,902.0
161,3.0,3.0,3.0,4.0,6.0,4.0,4.0,464.0,634.0,609.0,881.0,946.0
162,3.0,3.0,3.0,4.0,4.0,5.0,6.0,312.0,413.0,649.0,784.0,1248.0
163,3.0,3.0,3.0,3.0,5.0,4.0,6.0,213.0,787.0,441.0,748.0,1321.0
164,3.0,3.0,4.0,3.0,3.0,4.0,5.0,319.0,602.0,560.0,1243.0,1043.0
165,3.0,3.0,3.0,3.0,4.0,5.0,5.0,321.0,531.0,547.0,935.0,914.0
166,3.0,3.0,4.0,3.0,4.0,4.0,43.0,328.0,630.0,741.0,459.0,621.0
167,3.0,3.0,4.0,4.0,4.0,4.0,46.0,398.0,523.0,744.0,994.0,1409.0
168,3.0,4.0,3.0,4.0,4.0,5.0,6.0,5.0,497.0,637.0,1397.0,929.0
169,2.0,3.0,3.0,4.0,5.0,5.0,5.0,178.0,589.0,489.0,568.0,1205.0
170,3.0,3.0,3.0,4.0,5.0,4.0,77.0,376.0,525.0,611.0,731.0,968.0
171,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,462.0,780.0,802.0,1395.0
172,3.0,3.0,3.0,4.0,4.0,5.0,218.0,6.0,349.0,871.0,1414.0,944.0
173,3.0,3.0,3.0,3.0,4.0,5.0,5.0,218.0,734.0,830.0,658.0,916.0
174,3.0,3.0,3.0,4.0,4.0,4.0,4.0,204.0,714.0,537.0,703.0,1119.0
175,3.0,4.0,3.0,4.0,4.0,4.0,5.0,151.0,590.0,797.0,712.0,1019.0
176,3.0,3.0,4.0,4.0,5.0,4.0,5.0,214.0,406.0,542.0,1321.0,1153.0
177,3.0,3.0,3.0,4.0,5.0,5.0,5.0,288.0,652.0,884.0,1055.0,1500.0
178,3.0,3.0,3.0,3.0,4.0,5.0,343.0,571.0,368.0,877.0,859.0,1228.0
179,3.0,3.0,4.0,3.0,4.0,5.0,327.0,504.0,673.0,946.0,1113.0,1248.0
180,3.0,3.0,3.0,4.0,5.0,5.0,224.0,344.0,655.0,767.0,497.0,1354.0
181,2.0,3.0,3.0,4.0,4.0,4.0,5.0,376.0,601.0,722.0,781.0,936.0
182,3.0,3.0,4.0,4.0,4.0,5.0,99.0,6.0,645.0,598.0,619.0,701.0
183,3.0,3.0,3.0,3.0,152.0,4.0,211.0,477.0,640.0,1101.0,1321.0,1030.0
184,3.0,3.0,3.0,5.0,4.0,4.0,87.0,455.0,604.0,491.0,913.0,1500.0
185,3.0,3.0,3.0,3.0,4.0,4.0,5.0,303.0,475.0,855.0,1031.0,1401.0
186,3.0,4.0,3.0,3.0,4.0,4.0,4.0,380.0,482.0,502.0,1337.0,921.0
187,3.0,3.0,4.0,4.0,4.0,4.0,5.0,529.0,549.0,548.0,1068.0,1500.0
188,3.0,3.0,4.0,3.0,5.0,4.0,6.0,472.0,491.0,487.0,821.0,1122.0
189,3.0,3.0,3.0,4.0,4.0,4.0,335.0,149.0,737.0,674.0,1173.0,988.0
190,4.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,408.0,905.0,721.0,1197.0
191,3.0,3.0,5.0,4.0,4.0,75.0,5.0,406.0,777.0,592.0,703.0,1500.0
192,3.0,3.0,4.0,3.0,4.0,260.0,318.0,503.0,418.0,850.0,1322.0,772.0
193,3.0,3.0,3.0,4.0,4.0,5.0,5.0,104.0,428.0,931.0,931.0,773.0
194,3.0,4.0,3.0,4.0,4.0,7.0,5.0,368.0,385.0,656.0,1113.0,926.0
195,3.0,3.0,4.0,3.0,4.0,43.0,5.0,421.0,829.0,637.0,1283.0,1219.0
196,2.0,4.0,3.0,4.0,4.0,5.0,187.0,289.0,678.0,825.0,898.0,1021.0
197,3.0,3.0,3.0,4.0,4.0,4.0,128.0,237.0,275.0,597.0,794.0,1500.0
198,3.0,3.0,4.0,3.0,4.0,5.0,5.0,560.0,778.0,720.0,861.0,1500.0
199,3.0,3.0,4.0,3.0,4.0,4.0,5.0,506.0,545.0,570.0,932.0,1406.0
200,3.0,3.0,3.0,4.0,4.0,4.0,47.0,6.0,485.0,565.0,900.0,1500.0
201,3.0,4.0,4.0,4.0,4.0,59.0,362.0,426.0,412.0,704.0,1109.0,1097.0
202,3.0,3.0,3.0,3.0,4.0,5.0,43.0,112.0,403.0,676.0,493.0,1032.0
203,3.0,3.0,3.0,4.0,5.0,4.0,250.0,341.0,637.0,557.0,644.0,952.0
204,3.0,3.0,3.0,4.0,5.0,4.0,384.0,414.0,556.0,553.0,1161.0,914.0
205,3.0,3.0,4.0,4.0,4.0,4.0,289.0,377.0,766.0,939.0,771.0,1169.0
206,3.0,3.0,4.0,3.0,4.0,4.0,5.0,434.0,583.0,684.0,1060.0,1354.0
207,3.0,3.0,3.0,4.0,4.0,244.0,5.0,443.0,495.0,460.0,717.0,690.0
208,3.0,3.0,4.0,3.0,4.0,5.0,207.0,29.0,558.0,800.0,891.0,768.0
209,3.0,3.0,3.0,4.0,4.0,4.0,4.0,396.0,378.0,619.0,500.0,893.0
210,4.0,4.0,3.0,5.0,5.0,5.0,5.0,446.0,558.0,558.0,1296.0,683.0
211,3.0,3.0,4.0,4.0,4.0,280.0,6.0,466.0,609.0,571.0,667.0,1500.0
212,3.0,3.0,3.0,4.0,4.0,5.0,306.0,318.0,658.0,812.0,660.0,1337.0
213,4.0,4.0,3.0,4.0,4.0,4.0,348.0,402.0,444.0,618.0,486.0,1251.0
214,4.0,3.0,3.0,3.0,4.0,244.0,5.0,139.0,700.0,636.0,1340.0,922.0
215,3.0,3.0,4.0,3.0,4.0,4.0,5.0,322.0,627.0,981.0,937.0,1375.0
216,3.0,3.0,3.0,4.0,4.0,227.0,4.0,23.0,637.0,778.0,827.0,1100.0
217,3.0,3.0,3.0,4.0,4.0,6.0,290.0,435.0,626.0,863.0,1256.0,911.0
218,4.0,3.0,4.0,3.0,4.0,6.0,317.0,61.0,753.0,655.0,1107.0,1026.0
219,3.0,3.0,4.0,3.0,4.0,4.0,129.0,108.0,757.0,686.0,1391.0,1238.0
220,2.0,3.0,3.0,5.0,3.0,4.0,5.0,538.0,723.0,590.0,652.0,1500.0
221,2.0,3.0,3.0,3.0,3.0,5.0,6.0,37.0,400.0,579.0,1422.0,664.0
222,3.0,3.0,4.0,5.0,4.0,160.0,213.0,347.0,638.0,641.0,1034.0,1500.0
223,3.0,3.0,4.0,4.0,4.0,9.0,4.0,33.0,460.0,598.0,1449.0,868.0
224,3.0,3.0,3.0,3.0,4.0,248.0,313.0,616.0,601.0,536.0,778.0,584.0
225,4.0,3.0,4.0,4.0,4.0,4.0,6.0,513.0,423.0,721.0,1113.0,1239.0
226,3.0,3.0,4.0,3.0,3.0,5.0,233.0,93.0,560.0,534.0,1124.0,933.0
227,4.0,3.0,3.0,4.0,3.0,6.0,5.0,334.0,350.0,716.0,1330.0,930.0
228,3.0,3.0,3.0,4.0,146.0,250.0,262.0,6.0,489.0,400.0,1319.0,814.0
229,3.0,5.0,3.0,3.0,4.0,4.0,77.0,365.0,686.0,1019.0,1301.0,1216.0
230,4.0,3.0,3.0,5.0,5.0,6.0,5.0,327.0,609.0,534.0,789.0,1014.0
231,3.0,3.0,4.0,4.0,4.0,4.0,4.0,367.0,702.0,559.0,1334.0,1500.0
232,3.0,4.0,3.0,3.0,6.0,6.0,5.0,199.0,639.0,888.0,683.0,1401.0
233,4.0,3.0,3.0,5.0,4.0,4.0,5.0,5.0,540.0,925.0,347.0,633.0
234,3.0,3.0,5.0,3.0,4.0,5.0,5.0,453.0,628.0,876.0,926.0,1236.0
235,3.0,3.0,82.0,5.0,4.0,4.0,5.0,309.0,630.0,399.0,665.0,1137.0
236,3.0,3.0,3.0,4.0,4.0,5.0,324.0,515.0,443.0,520.0,988.0,867.0
237,3.0,3.0,4.0,4.0,4.0,78.0,153.0,12.0,284.0,520.0,1429.0,1035.0
238,3.0,4.0,4.0,3.0,4.0,5.0,5.0,298.0,619.0,560.0,1071.0,629.0
239,3.0,4.0,3.0,4.0,5.0,5.0,5.0,560.0,635.0,647.0,638.0,770.0
240,3.0,3.0,4.0,4.0,4.0,111.0,75.0,6.0,618.0,470.0,1228.0,1114.0
241,3.0,4.0,3.0,5.0,4.0,166.0,5.0,484.0,574.0,377.0,630.0,1328.0
242,3.0,4.0,3.0,4.0,4.0,4.0,375.0,271.0,434.0,593.0,766.0,873.0
243,3.0,3.0,3.0,4.0,27.0,5.0,4.0,556.0,486.0,791.0,1040.0,1372.0
244,3.0,3.0,4.0,4.0,5.0,4.0,208.0,446.0,729.0,660.0,802.0,1002.0
245,3.0,3.0,4.0,4.0,4.0,5.0,326.0,407.0,721.0,666.0,1004.0,1148.0
246,3.0,3.0,3.0,4.0,4.0,4.0,5.0,279.0,672.0,1021.0,965.0,1210.0
247,3.0,3.0,3.0,3.0,4.0,4.0,344.0,567.0,498.0,415.0,1384.0,1254.0
248,3.0,3.0,3.0,3.0,4.0,4.0,174.0,616.0,407.0,628.0,651.0,1500.0
249,3.0,3.0,4.0,4.0,4.0,62.0,4.0,51.0,448.0,590.0,497.0,737.0
