,time,d6.67_mean,d6.67_low,d6.67_high,d8.4_mean,d8.4_low,d8.4_high,d10.58_mean,d10.58_low,d10.58_high,d13.33_mean,d13.33_low,d13.33_high,d16.8_mean,d16.8_low,d16.8_high,d21.17_mean,d21.17_low,d21.17_high,d26.67_mean,d26.67_low,d26.67_high,d33.6_mean,d33.6_low,d33.6_high,d42.33_mean,d42.33_low,d42.33_high,d53.33_mean,d53.33_low,d53.33_high,d67.2_mean,d67.2_low,d67.2_high,d84.66_mean,d84.66_low,d84.66_high
54,54,135.716,121.0,149.0,171.148,155.0,189.0,217.056,199.9,236.0,272.944,251.0,293.0,345.008,319.0,367.0,434.972,407.9,465.1,548.444,521.0,577.0,687.176,653.0,720.0,868.124,834.9,905.0,1094.832,1054.9,1138.2,1380.12,1326.0,1428.1,1737.848,1690.0,1791.0
55,55,135.716,121.0,149.0,171.148,155.0,189.0,217.056,199.9,236.0,272.944,251.0,293.0,345.008,319.0,367.0,434.972,407.9,465.1,548.444,521.0,577.0,687.176,653.0,720.0,868.124,834.9,905.0,1094.832,1054.9,1138.2,1380.12,1326.0,1428.1,1737.848,1690.0,1791.0
56,56,135.716,121.0,149.0,171.148,155.0,189.0,217.056,199.9,236.0,272.944,251.0,293.0,345.008,319.0,367.0,434.972,407.9,465.1,548.444,521.0,577.0,687.176,653.0,720.0,868.124,834.9,905.0,1094.832,1054.9,1138.2,1380.12,1326.0,1428.1,1737.848,1690.0,1791.0
57,57,135.716,121.0,149.0,171.148,155.0,189.0,217.056,199.9,236.0,272.944,251.0,293.0,345.008,319.0,367.0,434.972,407.9,465.1,548.444,521.0,577.0,687.176,653.0,720.0,868.124,834.9,905.0,1094.832,1054.9,1138.2,1380.12,1326.0,1428.1,1737.848,1690.0,1791.0
58,58,135.716,121.0,149.0,171.148,155.0,189.0,217.056,199.9,236.0,272.944,251.0,293.0,345.008,319.0,367.0,434.972,407.9,465.1,548.444,521.0,577.0,687.176,653.0,720.0,868.124,834.9,905.0,1094.832,1054.9,1138.2,1380.12,1326.0,1428.1,1737.848,1690.0,1791.0
59,59,135.716,121.0,149.0,171.148,155.0,189.0,217.056,199.9,236.0,272.944,251.0,293.0,345.008,319.0,367.0,434.972,407.9,465.1,548.444,521.0,577.0,687.176,653.0,720.0,868.124,834.9,905.0,1094.832,1054.9,1138.2,1380.12,1326.0,1428.1,1737.848,1690.0,1791.0
60,60,135.716,121.0,149.0,171.148,155.0,189.0,217.056,199.9,236.0,272.944,251.0,293.0,345.008,319.0,367.0,434.972,407.9,465.1,548.444,521.0,577.0,687.176,653.0,720.0,868.124,834.9,905.0,1094.832,1054.9,1138.2,1380.12,1326.0,1428.1,1737.848,1690.0,1791.0
61,61,135.716,121.0,149.0,171.148,155.0,189.0,217.056,199.9,236.0,272.944,251.0,293.0,345.008,319.0,367.0,434.972,407.9,465.1,548.444,521.0,577.0,687.176,653.0,720.0,868.124,834.9,905.0,1094.832,1054.9,1138.2,1380.12,1326.0,1428.1,1737.848,1690.0,1791.0
62,62,135.716,121.0,149.0,171.148,155.0,189.0,217.056,199.9,236.0,272.944,251.0,293.0,345.008,319.0,367.0,434.972,407.9,465.1,548.444,521.0,577.0,687.176,653.0,720.0,868.124,834.9,905.0,1094.832,1054.9,1138.2,1380.12,1326.0,1428.1,1737.848,1690.0,1791.0
63,63,135.716,121.0,149.0,171.148,155.0,189.0,217.056,199.9,236.0,272.944,251.0,293.0,345.008,319.0,367.0,434.972,407.9,465.1,548.444,521.0,577.0,687.176,653.0,720.0,868.124,834.9,905.0,1094.832,1054.9,1138.2,1380.12,1326.0,1428.1,1737.848,1690.0,1791.0
64,64,135.716,121.0,149.0,171.148,155.0,189.0,217.056,199.9,236.0,272.944,251.0,293.0,345.008,319.0,367.0,434.972,407.9,465.1,548.444,521.0,577.0,687.176,653.0,720.0,868.124,834.9,905.0,1094.832,1054.9,1138.2,1380.12,1326.0,1428.1,1737.848,1690.0,1791.0
65,65,135.716,121.0,149.0,171.148,155.0,189.0,217.056,199.9,236.0,272.944,251.0,293.0,345.008,319.0,367.0,434.972,407.9,465.1,548.444,521.0,577.0,687.176,653.0,720.0,868.124,834.9,905.0,1094.832,1054.9,1138.2,1380.12,1326.0,1428.1,1737.848,1690.0,1791.0
66,66,135.716,121.0,149.0,171.148,155.0,189.0,217.056,199.9,236.0,272.944,251.0,293.0,345.008,319.0,367.0,434.972,407.9,465.1,548.444,521.0,577.0,687.176,653.0,720.0,868.124,834.9,905.0,1094.832,1054.9,1138.2,1380.12,1326.0,1428.1,1737.848,1690.0,1791.0
67,67,135.716,121.0,149.0,171.148,155.0,189.0,217.056,199.9,236.0,272.944,251.0,293.0,345.008,319.0,367.0,434.972,407.9,465.1,548.444,521.0,577.0,687.176,653.0,720.0,868.124,834.9,905.0,1094.832,1054.9,1138.2,1380.12,1326.0,1428.1,1737.848,1690.0,1791.0
68,68,135.716,121.0,149.0,171.148,155.0,189.0,217.056,199.9,236.0,272.944,251.0,293.0,345.008,319.0,367.0,434.972,407.9,465.1,548.444,521.0,577.0,687.176,653.0,720.0,868.124,834.9,905.0,1094.832,1054.9,1138.2,1380.12,1326.0,1428.1,1737.848,1690.0,1791.0
69,69,135.716,121.0,149.0,171.148,155.0,189.0,217.056,199.9,236.0,272.944,251.0,293.0,345.008,319.0,367.0,434.972,407.9,465.1,548.444,521.0,577.0,687.176,653.0,720.0,868.124,834.9,905.0,1094.832,1054.9,1138.2,1380.12,1326.0,1428.1,1737.848,1690.0,1791.0
70,70,135.716,121.0,149.0,171.148,155.0,189.0,217.056,199.9,236.0,272.944,251.0,293.0,345.008,319.0,367.0,434.972,407.9,465.1,548.444,521.0,577.0,687.176,653.0,720.0,868.124,834.9,905.0,1094.832,1054.9,1138.2,1380.12,1326.0,1428.1,1737.848,1690.0,1791.0
71,71,135.716,121.0,149.0,171.148,155.0,189.0,217.056,199.9,236.0,272.944,251.0,293.0,345.008,319.0,367.0,434.972,407.9,465.1,548.444,521.0,577.0,687.176,653.0,720.0,868.124,834.9,905.0,1094.832,1054.9,1138.2,1380.12,1326.0,1428.1,1737.848,1690.0,1791.0
72,72,135.716,121.0,149.0,171.148,155.0,189.0,217.056,199.9,236.0,272.944,251.0,293.0,345.008,319.0,367.0,434.972,407.9,465.1,548.444,521.0,577.0,687.176,653.0,720.0,868.124,834.9,905.0,1094.832,1054.9,1138.2,1380.12,1326.0,1428.1,1737.848,1690.0,1791.0
73,73,135.716,121.0,149.0,171.148,155.0,189.0,217.056,199.9,236.0,272.944,251.0,293.0,345.008,319.0,367.0,434.972,407.9,465.1,548.444,521.0,577.0,687.176,653.0,720.0,868.124,834.9,905.0,1094.832,1054.9,1138.2,1380.12,1326.0,1428.1,1737.848,1690.0,1791.0
74,74,135.716,121.0,149.0,171.148,155.0,189.0,217.056,199.9,236.0,272.944,251.0,293.0,345.008,319.0,367.0,434.972,407.9,465.1,548.444,521.0,577.0,687.176,653.0,720.0,868.124,834.9,905.0,1094.832,1054.9,1138.2,1380.12,1326.0,1428.1,1737.848,1690.0,1791.0
75,75,135.716,121.0,149.0,171.148,155.0,189.0,217.056,199.9,236.0,272.944,251.0,293.0,345.008,319.0,367.0,434.972,407.9,465.1,548.444,521.0,577.0,687.176,653.0,720.0,868.124,834.9,905.0,1094.832,1054.9,1138.2,1380.12,1326.0,1428.1,1737.848,1690.0,1791.0
76,76,135.716,121.0,149.0,171.148,155.0,189.0,217.056,199.9,236.0,272.944,251.0,293.0,345.008,319.0,367.0,434.972,407.9,465.1,548.444,521.0,577.0,687.176,653.0,720.0,868.124,834.9,905.0,1094.832,1054.9,1138.2,1380.12,1326.0,1428.1,1737.848,1690.0,1791.0
77,77,135.716,121.0,149.0,171.148,155.0,189.0,217.056,199.9,236.0,272.944,251.0,293.0,345.008,319.0,367.0,434.972,407.9,465.1,548.444,521.0,577.0,687.176,653.0,720.0,868.124,834.9,905.0,1094.832,1054.9,1138.2,1380.12,1326.0,1428.1,1737.848,1690.0,1791.0
78,78,135.716,121.0,149.0,171.148,155.0,189.0,217.056,199.9,236.0,272.944,251.0,293.0,345.008,319.0,367.0,434.972,407.9,465.1,548.444,521.0,577.0,687.176,653.0,720.0,868.124,834.9,905.0,1094.832,1054.9,1138.2,1380.12,1326.0,1428.1,1737.848,1690.0,1791.0
79,79,135.716,121.0,149.0,171.148,155.0,189.0,217.056,199.9,236.0,272.944,251.0,293.0,345.008,319.0,367.0,434.972,407.9,465.1,548.444,521.0,577.0,687.176,653.0,720.0,868.124,834.9,905.0,1094.832,1054.9,1138.2,1380.12,1326.0,1428.1,1737.848,1690.0,1791.0
80,80,135.716,121.0,149.0,171.148,155.0,189.0,217.056,199.9,236.0,272.944,251.0,293.0,345.008,319.0,367.0,434.972,407.9,465.1,548.444,521.0,577.0,687.176,653.0,720.0,868.124,834.9,905.0,1094.832,1054.9,1138.2,1380.12,1326.0,1428.1,1737.848,1690.0,1791.0
81,81,135.716,121.0,149.0,171.148,155.0,189.0,217.056,199.9,236.0,272.944,251.0,293.0,345.008,319.0,367.0,434.972,407.9,465.1,548.444,521.0,577.0,687.176,653.0,720.0,868.124,834.9,905.0,1094.832,1054.9,1138.2,1380.12,1326.0,1428.1,1737.848,1690.0,1791.0
82,82,135.716,121.0,149.0,171.148,155.0,189.0,217.056,199.9,236.0,272.944,251.0,293.0,345.008,319.0,367.0,434.972,407.9,465.1,548.444,521.0,577.0,687.176,653.0,720.0,868.124,834.9,905.0,1094.832,1054.9,1138.2,1380.12,1326.0,1428.1,1737.848,1690.0,1791.0
83,83,135.716,121.0,149.0,171.148,155.0,189.0,217.056,199.9,236.0,272.944,251.0,293.0,345.008,319.0,367.0,434.972,407.9,465.1,548.444,521.0,577.0,687.176,653.0,720.0,868.124,834.9,905.0,1094.832,1054.9,1138.2,1380.12,1326.0,1428.1,1737.848,1690.0,1791.0
