,d6.67,d8.4,d10.58,d13.33,d16.8,d21.17,d26.67,d33.6,d42.33,d53.33,d67.2,d84.66
227,,,,,,,,595.0,383.0,183.0,49.0,32.0
228,,,,,694.0,360.0,599.0,,153.0,49.0,57.0,27.0
229,,,,,,,1130.0,454.0,143.0,88.0,42.0,31.0
230,,,,,,,,412.0,68.0,187.0,73.0,23.0
231,,,,,,,,702.0,137.0,69.0,30.0,29.0
232,,,,,,,,978.0,253.0,59.0,23.0,28.0
233,,,,,,,,,287.0,72.0,46.0,34.0
234,,,,,,,,165.0,337.0,110.0,66.0,32.0
235,,,924.0,,,,,607.0,98.0,257.0,45.0,34.0
236,,,,,,,380.0,297.0,161.0,63.0,49.0,27.0
237,,,,,,1114.0,967.0,,697.0,56.0,54.0,32.0
238,,,,,,,,340.0,75.0,114.0,41.0,31.0
239,,,,,,,,173.0,122.0,240.0,62.0,45.0
240,,,,,,969.0,1128.0,,119.0,58.0,36.0,34.0
241,,,,,,735.0,,263.0,91.0,51.0,31.0,38.0
242,,,,,,,246.0,749.0,624.0,53.0,48.0,37.0
243,,,,,,,,207.0,130.0,87.0,68.0,35.0
244,,,,,,,813.0,468.0,111.0,89.0,92.0,23.0
245,,,,,,,349.0,396.0,87.0,86.0,98.0,30.0
246,,,,,,,,790.0,261.0,92.0,53.0,28.0
247,,,,,,,285.0,272.0,544.0,55.0,41.0,36.0
248,,,,,,,884.0,97.0,214.0,164.0,49.0,42.0
249,,,,,,1156.0,,1199.0,118.0,58.0,36.0,42.0
