,time,d6.67_mean,d6.67_low,d6.67_high,d8.4_mean,d8.4_low,d8.4_high,d10.58_mean,d10.58_low,d10.58_high,d13.33_mean,d13.33_low,d13.33_high,d16.8_mean,d16.8_low,d16.8_high,d21.17_mean,d21.17_low,d21.17_high,d26.67_mean,d26.67_low,d26.67_high,d33.6_mean,d33.6_low,d33.6_high,d42.33_mean,d42.33_low,d42.33_high,d53.33_mean,d53.33_low,d53.33_high,d67.2_mean,d67.2_low,d67.2_high,d84.66_mean,d84.66_low,d84.66_high
28,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048090820182728795,0.0,0.0,0.012256587125336858,0.0,0.03627875966322713
29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007826272231176337,0.0,0.0,0.014827945516435436,0.0,0.038356704211098915
30,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015411290696358611,0.0,0.0,0.01833344336628985,0.0,0.05996476488557329
31,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018505338078291813,0.0,0.0,0.0020319862230996364,0.0,0.0,0.0226807254910774,0.0,0.06572628506567212
32,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018861209964412813,0.0,0.0,0.002417713208658665,0.0,0.0,0.027767787339501526,0.0,0.06812731744230041
33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019572953736654805,0.0,0.0,0.002768907618834176,0.0,0.0,0.032848344774528304,0.0,0.07517868931788589
34,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019572953736654805,0.0,0.0,0.0033158088941702786,0.0,0.0,0.03796924092283142,0.0,0.08427118277409931
35,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019572953736654805,0.0,0.0,0.005006519674913238,0.0,0.03614286697947098,0.04461497926831608,0.0,0.09902754160112387
36,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002099644128113879,0.0,0.0,0.0062914664468100906,0.0,0.03780139138465863,0.05149213512882102,0.0,0.1055420346893657
37,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022064056939501782,0.0,0.0,0.007904812451944078,0.0,0.039104263877715206,0.05761492442030251,0.0,0.11760277129440246
38,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023487544483985763,0.0,0.0,0.009453237960052206,0.0,0.04007163841146214,0.06333972543301226,0.0,0.12455585129720086
39,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023843416370106764,0.0,0.0,0.01044814623908766,0.0,0.040966712898751735,0.07005148743104553,0.0,0.13824296249212822
40,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024199288256227758,0.0,0.0,0.011896798406132041,0.0,0.042432377465934513,0.07592506946203564,0.0,0.14357398206671626
41,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024199288256227758,0.0,0.0,0.013075877787901476,0.0,0.04358786346396966,0.08225421089499095,0.0,0.15114648944436176
42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024199288256227758,0.0,0.0,0.014646961845052445,0.0,0.04576582709326072,0.08952625454441378,0.029972978590729577,0.1571568796464458
43,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006315462347846595,0.0,0.0,0.017343887138188782,0.0,0.04732383513390259,0.09708012304826996,0.031006187368163934,0.16904112282771674
44,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008265784334967108,0.0,0.0,0.018989203977522916,0.0,0.04959814374432388,0.1049658846708949,0.03217284570535889,0.1767739862476704
45,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008446559368669099,0.0,0.0,0.02186603861596981,0.0,0.05237170721638845,0.11278837559448572,0.03640137896584135,0.18378117038269112
46,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001197603716238628,0.0,0.0,0.024444189078431197,0.0,0.06562062575533768,0.12216221477302291,0.04229690580614011,0.19697677952080914
47,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021694545904198644,0.0,0.0,0.026317293190198498,0.0,0.07435629688659283,0.12974237608091796,0.04809430361515196,0.20844192864255653
48,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022089416931869743,0.0,0.0,0.028999045912666836,0.0,0.0783476087125029,0.13792234394829164,0.05548960455760692,0.21521723363562129
49,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028320155139279356,0.0,0.0,0.031468329770614804,0.0,0.08353065100451232,0.14555814027091793,0.06485054215102082,0.23247373474762334
50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034178058541988426,0.0,0.0,0.03424845933997833,0.0,0.08523722960311413,0.153861990842857,0.06825958702064897,0.24324126895347828
51,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036864381428766023,0.0,0.0,0.03667956856125166,0.0,0.08896688345667937,0.16308340718365655,0.07112152637762628,0.25555117969281443
52,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003928147376489662,0.0,0.0,0.03939924814850022,0.0,0.09029096689474046,0.17019494900252966,0.0749860158062926,0.2642265071064198
53,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005298206406790512,0.0,0.044353723980919336,0.041872002309907,0.0,0.09474487488274783,0.17741920679609655,0.08156330546406254,0.27020047965948035
54,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005813701078753746,0.0,0.04658061179009944,0.04515009550536818,0.0,0.09879966729493998,0.18607991490822395,0.09399155133527448,0.2813728094399443
55,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006529543966121679,0.0,0.04745629059209869,0.04792227938599069,0.0,0.10529811824550009,0.19321289797724428,0.09968763071811833,0.28642889426301
56,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007157796436954553,0.0,0.04817638266068759,0.05104669290993287,0.0,0.11604848234412535,0.20042419522296046,0.10541439465973261,0.2946251187352084
57,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000232662192393736,0.0,0.0,0.008063867439473325,0.0,0.04927480916030534,0.05466913270881699,0.0,0.1218879375851588,0.20756787463486284,0.10901643138162463,0.3019936982187477
58,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023713646532438478,0.0,0.0,0.00932222055301259,0.0,0.05050743008574931,0.05762941996640398,0.0,0.1271973808494629,0.2154692587820926,0.11687180563318328,0.31152786543154637
59,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045677743681329713,0.0,0.0,0.010563763464696643,0.0,0.05198367056499722,0.06160418590537033,0.0,0.13516923786837606,0.22380202686955253,0.1209831176439261,0.3279658023123451
60,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00046572598267459464,0.0,0.0,0.012259128113957452,0.0,0.05287802618492935,0.06496857161643672,0.0,0.14366786955142025,0.23213113427524762,0.12744313900565177,0.3377456647398844
61,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009464456025371809,0.0,0.0,0.012712115384808407,0.0,0.05384140550807217,0.06796585797624104,0.0,0.14854203532754603,0.23953557322520938,0.1413786071241831,0.34572820153413875
62,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027717391304347825,0.0,0.0,0.0011934216166664966,0.0,0.0,0.012919327663885328,0.0,0.054502585149958274,0.07165214028520309,0.0,0.15096115509483396,0.24695952894346945,0.1431691140973882,0.3536788467597266
63,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027717391304347825,0.0,0.0,0.0014551936494266594,0.0,0.0,0.014264258248755629,0.0,0.057720178372352285,0.07560809314737339,0.0,0.15498498767280447,0.2549829272849522,0.1466175444251086,0.3642110739383074
64,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027717391304347825,0.0,0.0,0.0017213184711065907,0.0,0.0,0.01546470426770526,0.0,0.05905868237347295,0.07995113469099416,0.0,0.16184501347500832,0.26251129838134246,0.15107919255667424,0.37435171539226103
65,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002826086956521739,0.0,0.0,0.0017435771860080252,0.0,0.0,0.01646960854552265,0.0,0.059945952414191976,0.08381394379573588,0.0,0.1676618402392242,0.26988519197397526,0.15806814322857934,0.38122939515499876
66,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002934782608695652,0.0,0.0,0.0022364646984760965,0.0,0.0,0.01708068844815275,0.0,0.06048427044021428,0.0882592569811963,0.0,0.17535210315939645,0.27676361842362557,0.16739992415944488,0.3973039799500823
67,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029891304347826086,0.0,0.0,0.00249570041981577,0.0,0.0,0.01804313486724421,0.0,0.06241777172009729,0.09203744247937731,0.0,0.1807281254916799,0.2842186410787009,0.17112766877678606,0.40457274542342997
68,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029891304347826086,0.0,0.0,0.0027649381920284355,0.0,0.0,0.019292907357405388,0.0,0.06521029410134468,0.09705869040054027,0.0,0.18817769602868017,0.29222287850570644,0.17937502144450163,0.4123424212546437
69,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030434782608695655,0.0,0.0,0.0032654944505859226,0.0,0.0,0.02035024341450496,0.0,0.0660590055938893,0.10055445674388186,0.0,0.1917940428364276,0.3002154279376899,0.18229147366615198,0.4192722387710998
70,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003152173913043478,0.0,0.0,0.0033059899444395986,0.0,0.0,0.02144180812400654,0.0,0.06751275309557518,0.10354293940625664,0.037337579268399125,0.19599590927855687,0.30814488957974234,0.18370854254075245,0.4268132702529058
71,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003152173913043478,0.0,0.0,0.0033329146663946883,0.0,0.0,0.022941683681116425,0.0,0.06842907308023588,0.10759016951402671,0.039430890027541826,0.2023645201519188,0.31484282765137916,0.19185600167406625,0.43279496193117495
72,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032065217391304346,0.0,0.0,0.0035880427995935793,0.0,0.0,0.023943657371868498,0.0,0.0696940014488761,0.11097059420959886,0.04057782530047117,0.20908161761997718,0.32272473220992703,0.19644121188491612,0.44075431921020153
73,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032065217391304346,0.0,0.0,0.0038735847620305314,0.0,0.0,0.02599890785483109,0.0,0.07069585537178519,0.1153966344408016,0.041895433061353925,0.21257945356451757,0.3300889438074812,0.20051404394098749,0.4474761386944825
74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032608695652173916,0.0,0.0,0.004626304098323549,0.0,0.0,0.027156525847396574,0.0,0.07222428929135283,0.1198019551460414,0.04312005748297849,0.2194258509501118,0.3381564736628758,0.21034323686124906,0.4547058823529412
75,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033695652173913043,0.0,0.0,0.005370196490592902,0.0,0.0,0.02984294540837686,0.0,0.07700710099567785,0.12428259510301345,0.04383355386979856,0.22762035209239448,0.3458382608969746,0.21731397189136809,0.46117147509298917
