,type0,type1,type2
529,4.0,2.0,714.0
530,4.0,3.0,361.0
531,5.0,2.0,257.0
532,387.0,2.0,744.0
533,78.0,2.0,5.0
534,3.0,3.0,30.0
535,43.0,2.0,286.0
536,37.0,2.0,671.0
537,5.0,2.0,667.0
538,310.0,3.0,2.0
539,2.0,1.0,893.0
540,4.0,2.0,281.0
541,3.0,2.0,693.0
542,3.0,1.0,354.0
543,7.0,2.0,771.0
544,3.0,2.0,601.0
545,2.0,2.0,191.0
546,109.0,2.0,255.0
547,5.0,2.0,710.0
548,3.0,2.0,430.0
549,3.0,2.0,55.0
550,4.0,2.0,472.0
551,3.0,2.0,539.0
552,46.0,2.0,637.0
553,211.0,2.0,266.0
554,6.0,1.0,744.0
555,3.0,2.0,5.0
556,347.0,2.0,457.0
557,282.0,3.0,675.0
558,100.0,3.0,591.0
559,3.0,3.0,786.0
560,178.0,3.0,149.0
561,3.0,2.0,116.0
562,8.0,2.0,10.0
563,18.0,2.0,145.0
564,3.0,2.0,194.0
565,260.0,2.0,320.0
566,22.0,3.0,5.0
567,12.0,2.0,4.0
568,5.0,2.0,24.0
569,118.0,2.0,496.0
570,2.0,2.0,391.0
571,24.0,2.0,382.0
572,1.0,1.0,559.0
573,301.0,2.0,671.0
574,4.0,2.0,91.0
575,183.0,2.0,602.0
576,230.0,1.0,392.0
577,378.0,2.0,540.0
578,4.0,3.0,6.0
579,6.0,1.0,646.0
580,4.0,2.0,483.0
581,2.0,2.0,265.0
582,250.0,2.0,853.0
583,156.0,1.0,417.0
584,3.0,3.0,762.0
585,10.0,2.0,610.0
586,220.0,2.0,796.0
587,3.0,2.0,599.0
588,4.0,2.0,681.0
589,318.0,2.0,319.0
590,28.0,1.0,182.0
591,313.0,2.0,3.0
592,192.0,2.0,7.0
593,34.0,2.0,188.0
594,2.0,2.0,3.0
595,62.0,2.0,40.0
596,2.0,2.0,233.0
597,14.0,2.0,85.0
598,31.0,2.0,40.0
599,208.0,2.0,6.0
600,5.0,2.0,3.0
601,8.0,2.0,786.0
602,232.0,2.0,198.0
603,49.0,2.0,4.0
604,2.0,2.0,498.0
605,8.0,2.0,221.0
606,300.0,2.0,243.0
607,56.0,2.0,45.0
608,181.0,1.0,342.0
609,316.0,1.0,273.0
610,3.0,3.0,376.0
611,186.0,2.0,484.0
612,52.0,2.0,482.0
613,76.0,2.0,75.0
614,5.0,2.0,425.0
615,127.0,3.0,270.0
616,7.0,2.0,667.0
617,56.0,2.0,5.0
618,133.0,2.0,810.0
619,5.0,2.0,813.0
620,67.0,2.0,516.0
621,42.0,2.0,230.0
622,22.0,2.0,404.0
623,4.0,2.0,493.0
624,108.0,1.0,3.0
625,236.0,2.0,76.0
626,316.0,1.0,732.0
627,18.0,2.0,318.0
628,471.0,2.0,209.0
629,39.0,2.0,18.0
630,257.0,2.0,872.0
631,6.0,3.0,10.0
632,8.0,2.0,585.0
633,3.0,1.0,347.0
634,13.0,2.0,29.0
635,3.0,2.0,660.0
636,1.0,2.0,757.0
637,3.0,2.0,323.0
638,9.0,3.0,287.0
639,4.0,2.0,316.0
640,73.0,2.0,15.0
641,77.0,2.0,4.0
642,375.0,2.0,474.0
643,26.0,2.0,187.0
644,4.0,2.0,577.0
645,3.0,2.0,577.0
646,79.0,2.0,381.0
647,7.0,2.0,741.0
648,4.0,2.0,416.0
649,2.0,2.0,2.0
650,27.0,1.0,5.0
651,67.0,1.0,151.0
652,62.0,2.0,694.0
653,4.0,2.0,138.0
654,178.0,2.0,55.0
655,203.0,3.0,599.0
656,189.0,3.0,150.0
657,172.0,2.0,779.0
658,11.0,2.0,730.0
659,7.0,2.0,261.0
660,5.0,2.0,272.0
661,37.0,1.0,188.0
662,4.0,2.0,118.0
663,6.0,2.0,657.0
664,9.0,2.0,2.0
665,4.0,2.0,492.0
666,102.0,3.0,567.0
667,26.0,2.0,745.0
668,4.0,2.0,5.0
669,4.0,2.0,186.0
670,4.0,2.0,467.0
671,10.0,2.0,489.0
672,5.0,2.0,487.0
673,489.0,2.0,5.0
674,1.0,3.0,9.0
675,40.0,2.0,3.0
676,237.0,1.0,75.0
677,4.0,3.0,585.0
678,19.0,2.0,520.0
679,68.0,2.0,420.0
680,175.0,3.0,308.0
681,4.0,2.0,506.0
682,65.0,3.0,631.0
683,159.0,3.0,558.0
684,7.0,2.0,435.0
685,80.0,2.0,511.0
686,25.0,2.0,841.0
687,103.0,2.0,20.0
688,370.0,3.0,413.0
689,3.0,2.0,355.0
690,2.0,2.0,130.0
691,4.0,2.0,29.0
692,3.0,3.0,568.0
693,5.0,3.0,751.0
694,6.0,2.0,655.0
695,10.0,2.0,46.0
696,197.0,2.0,4.0
697,1.0,2.0,373.0
698,4.0,2.0,97.0
699,38.0,2.0,9.0
700,73.0,3.0,954.0
701,147.0,2.0,538.0
702,287.0,2.0,328.0
703,49.0,3.0,84.0
704,232.0,1.0,216.0
705,11.0,2.0,643.0
706,31.0,3.0,693.0
707,3.0,2.0,6.0
708,6.0,2.0,247.0
709,302.0,3.0,77.0
710,3.0,2.0,422.0
711,2.0,2.0,787.0
712,314.0,2.0,770.0
713,29.0,2.0,748.0
714,3.0,3.0,96.0
715,6.0,2.0,656.0
716,4.0,2.0,13.0
717,3.0,2.0,505.0
718,200.0,2.0,482.0
719,2.0,1.0,206.0
720,139.0,2.0,243.0
721,67.0,1.0,604.0
722,28.0,2.0,583.0
723,3.0,2.0,480.0
724,85.0,2.0,681.0
725,229.0,2.0,685.0
726,3.0,2.0,535.0
727,59.0,2.0,538.0
728,209.0,2.0,17.0
729,4.0,2.0,516.0
730,2.0,2.0,596.0
731,5.0,2.0,8.0
732,12.0,2.0,394.0
733,195.0,2.0,394.0
734,5.0,2.0,671.0
735,3.0,2.0,508.0
736,20.0,2.0,479.0
737,4.0,2.0,749.0
738,24.0,2.0,68.0
739,59.0,2.0,770.0
740,52.0,2.0,213.0
741,193.0,2.0,457.0
742,4.0,2.0,137.0
743,4.0,2.0,610.0
744,2.0,1.0,628.0
745,72.0,3.0,752.0
746,4.0,2.0,220.0
747,4.0,2.0,713.0
748,34.0,2.0,28.0
749,7.0,2.0,428.0
750,4.0,2.0,412.0
751,276.0,2.0,314.0
752,3.0,3.0,167.0
753,39.0,3.0,387.0
754,4.0,2.0,246.0
755,15.0,2.0,318.0
756,2.0,2.0,674.0
757,63.0,2.0,219.0
758,159.0,2.0,835.0
759,26.0,1.0,5.0
760,3.0,2.0,2.0
761,41.0,2.0,728.0
762,4.0,2.0,678.0
763,130.0,2.0,6.0
764,310.0,2.0,184.0
765,152.0,2.0,3.0
766,6.0,2.0,709.0
767,4.0,2.0,590.0
768,115.0,2.0,170.0
769,4.0,2.0,603.0
770,4.0,2.0,668.0
771,348.0,2.0,81.0
772,6.0,2.0,11.0
773,4.0,1.0,612.0
774,57.0,2.0,840.0
775,24.0,2.0,755.0
776,314.0,2.0,353.0
777,16.0,3.0,67.0
778,32.0,2.0,293.0
779,186.0,2.0,624.0
780,3.0,2.0,671.0
781,71.0,3.0,7.0
782,68.0,2.0,50.0
783,3.0,2.0,840.0
784,353.0,1.0,350.0
785,3.0,2.0,819.0
786,151.0,2.0,639.0
787,289.0,2.0,619.0
788,4.0,2.0,35.0
789,9.0,2.0,871.0
790,2.0,2.0,470.0
791,96.0,2.0,538.0
792,8.0,2.0,21.0
793,6.0,2.0,399.0
794,239.0,2.0,381.0
795,14.0,2.0,604.0
796,30.0,2.0,370.0
797,2.0,2.0,4.0
798,3.0,1.0,11.0
799,7.0,2.0,755.0
800,4.0,2.0,395.0
801,8.0,2.0,79.0
802,360.0,2.0,807.0
803,270.0,2.0,136.0
804,204.0,2.0,319.0
805,4.0,2.0,621.0
806,37.0,2.0,763.0
807,213.0,3.0,790.0
808,108.0,2.0,799.0
809,5.0,2.0,81.0
810,5.0,2.0,508.0
811,3.0,2.0,138.0
812,5.0,2.0,847.0
813,14.0,3.0,720.0
814,9.0,2.0,260.0
815,5.0,2.0,6.0
816,311.0,2.0,114.0
817,3.0,2.0,274.0
818,150.0,2.0,31.0
819,24.0,2.0,344.0
820,326.0,2.0,495.0
821,5.0,2.0,198.0
822,30.0,3.0,503.0
823,5.0,3.0,61.0
824,13.0,2.0,62.0
825,326.0,1.0,573.0
826,330.0,2.0,643.0
827,54.0,2.0,679.0
828,27.0,3.0,653.0
829,60.0,2.0,769.0
830,139.0,3.0,495.0
831,37.0,2.0,801.0
832,47.0,2.0,645.0
833,4.0,2.0,3.0
834,5.0,3.0,268.0
835,6.0,1.0,268.0
836,52.0,2.0,535.0
837,49.0,2.0,256.0
838,2.0,2.0,637.0
839,24.0,2.0,793.0
840,4.0,2.0,716.0
841,216.0,2.0,823.0
842,96.0,1.0,86.0
843,9.0,2.0,670.0
844,5.0,2.0,241.0
845,5.0,2.0,669.0
846,4.0,2.0,375.0
847,18.0,1.0,450.0
848,20.0,2.0,802.0
849,1.0,1.0,492.0
850,174.0,2.0,745.0
851,29.0,4.0,765.0
852,3.0,3.0,302.0
853,157.0,2.0,732.0
854,5.0,2.0,805.0
855,5.0,2.0,73.0
856,285.0,2.0,600.0
857,4.0,2.0,919.0
858,2.0,2.0,216.0
859,3.0,2.0,2.0
860,3.0,2.0,58.0
861,7.0,2.0,31.0
862,3.0,2.0,164.0
863,224.0,1.0,115.0
864,5.0,1.0,895.0
865,4.0,2.0,68.0
866,4.0,3.0,890.0
867,7.0,2.0,431.0
868,3.0,2.0,391.0
869,4.0,2.0,17.0
870,7.0,2.0,277.0
871,2.0,2.0,4.0
872,88.0,2.0,49.0
873,28.0,2.0,459.0
874,5.0,2.0,753.0
875,314.0,2.0,75.0
876,2.0,2.0,645.0
877,246.0,2.0,2.0
878,45.0,2.0,517.0
879,12.0,2.0,590.0
880,20.0,2.0,399.0
881,2.0,2.0,67.0
882,7.0,2.0,21.0
883,238.0,2.0,457.0
884,127.0,3.0,755.0
885,9.0,2.0,396.0
886,70.0,3.0,64.0
887,105.0,2.0,56.0
888,292.0,2.0,439.0
889,4.0,3.0,285.0
890,4.0,2.0,538.0
891,4.0,3.0,161.0
892,2.0,2.0,267.0
893,4.0,2.0,125.0
894,215.0,2.0,402.0
895,3.0,2.0,183.0
896,386.0,3.0,629.0
897,2.0,3.0,485.0
898,2.0,2.0,552.0
899,34.0,2.0,6.0
900,92.0,1.0,513.0
901,18.0,2.0,240.0
902,5.0,2.0,458.0
903,1.0,2.0,683.0
904,233.0,2.0,197.0
905,3.0,1.0,161.0
906,4.0,2.0,720.0
907,1.0,1.0,678.0
908,4.0,2.0,597.0
909,11.0,2.0,556.0
910,4.0,2.0,395.0
911,237.0,2.0,220.0
912,37.0,2.0,551.0
913,163.0,1.0,675.0
914,293.0,2.0,1.0
915,3.0,2.0,259.0
916,396.0,1.0,619.0
917,85.0,2.0,27.0
918,121.0,2.0,352.0
919,322.0,2.0,340.0
920,4.0,2.0,179.0
921,281.0,2.0,712.0
922,2.0,2.0,579.0
923,249.0,2.0,599.0
924,96.0,2.0,496.0
925,6.0,2.0,1.0
926,9.0,2.0,258.0
927,50.0,2.0,342.0
928,4.0,3.0,715.0
929,17.0,3.0,579.0
930,134.0,2.0,155.0
931,201.0,2.0,2.0
932,24.0,2.0,891.0
933,9.0,2.0,3.0
934,48.0,2.0,435.0
935,21.0,1.0,431.0
936,61.0,2.0,630.0
937,211.0,2.0,761.0
938,232.0,2.0,501.0
939,58.0,2.0,2.0
940,2.0,3.0,629.0
941,318.0,2.0,658.0
942,248.0,2.0,622.0
943,4.0,2.0,30.0
944,3.0,2.0,441.0
945,5.0,2.0,385.0
946,68.0,2.0,568.0
947,203.0,2.0,281.0
948,5.0,2.0,186.0
949,7.0,1.0,153.0
950,209.0,2.0,273.0
951,375.0,2.0,3.0
952,5.0,2.0,752.0
953,42.0,3.0,315.0
954,12.0,2.0,451.0
955,9.0,2.0,619.0
956,118.0,2.0,349.0
957,1.0,2.0,3.0
958,15.0,2.0,56.0
959,43.0,2.0,230.0
960,5.0,2.0,49.0
961,27.0,2.0,372.0
962,1.0,2.0,845.0
963,25.0,2.0,650.0
964,3.0,2.0,106.0
965,4.0,2.0,748.0
966,3.0,2.0,777.0
967,223.0,2.0,224.0
968,5.0,2.0,854.0
969,4.0,2.0,742.0
970,4.0,1.0,372.0
971,21.0,3.0,20.0
972,4.0,2.0,730.0
973,5.0,2.0,2.0
974,54.0,2.0,457.0
975,31.0,2.0,219.0
976,1.0,2.0,615.0
977,4.0,2.0,305.0
978,3.0,2.0,331.0
979,45.0,2.0,791.0
980,45.0,2.0,807.0
981,284.0,2.0,365.0
982,3.0,2.0,821.0
983,338.0,2.0,4.0
984,144.0,2.0,554.0
985,15.0,2.0,49.0
986,31.0,2.0,662.0
987,218.0,2.0,484.0
988,125.0,2.0,146.0
989,309.0,2.0,318.0
990,3.0,2.0,826.0
991,32.0,1.0,819.0
992,183.0,2.0,615.0
993,92.0,2.0,383.0
994,117.0,2.0,3.0
995,15.0,2.0,752.0
996,14.0,2.0,280.0
