,type0,type1,type2
248,,,85.0
249,,,
250,878.0,,179.0
251,263.0,,
252,,,164.0
253,,,91.0
254,,,165.0
255,,,47.0
256,1049.0,,74.0
257,275.0,,96.0
258,,,26.0
259,182.0,,88.0
260,220.0,,26.0
261,,,108.0
262,162.0,,132.0
263,,,85.0
264,,,133.0
265,409.0,,63.0
266,,,120.0
267,,,307.0
268,,,203.0
269,,,98.0
270,33.0,,48.0
271,404.0,,153.0
272,299.0,,347.0
273,470.0,,95.0
274,,,162.0
275,,,42.0
276,,,157.0
277,,,170.0
278,,,107.0
279,,,138.0
280,,,
281,395.0,,159.0
282,242.0,,
283,584.0,,170.0
284,,,105.0
285,,,114.0
286,,,246.0
287,475.0,,20.0
288,720.0,,
289,,,
290,100.0,,37.0
291,,,25.0
292,119.0,,17.0
293,,,137.0
294,,,177.0
295,,,
296,175.0,,35.0
297,,,
298,,,47.0
299,239.0,,71.0
300,,,145.0
301,,,87.0
302,,,206.0
303,226.0,,
304,,,52.0
305,52.0,,85.0
306,32.0,,18.0
307,,,
308,,,
309,,,162.0
310,,,
311,,,128.0
312,348.0,,36.0
313,,,64.0
314,678.0,,127.0
315,,,37.0
316,76.0,,80.0
317,,,118.0
318,145.0,,50.0
319,,,141.0
320,,,31.0
321,,,50.0
322,,,159.0
323,,,169.0
324,,,29.0
325,,,80.0
326,,,33.0
327,,,49.0
328,237.0,,156.0
329,439.0,,
330,,,45.0
331,217.0,,
332,351.0,,52.0
333,,,168.0
334,34.0,,67.0
335,,,138.0
336,437.0,,89.0
337,,,
338,,,65.0
339,600.0,,25.0
340,1178.0,,91.0
341,64.0,,73.0
342,766.0,,47.0
343,,,
344,,,74.0
345,471.0,,200.0
346,236.0,,30.0
347,967.0,,302.0
348,227.0,,
349,,,56.0
350,,,119.0
351,,,45.0
352,481.0,,97.0
353,432.0,,72.0
354,,,44.0
355,861.0,,
356,,,51.0
357,178.0,,138.0
358,,,42.0
359,,,81.0
360,,,54.0
361,246.0,,74.0
362,,,91.0
363,,,118.0
364,720.0,,86.0
365,,,150.0
366,,,120.0
367,,,343.0
368,133.0,,47.0
369,388.0,,32.0
370,652.0,,128.0
371,,,147.0
372,352.0,,74.0
373,219.0,,122.0
374,427.0,,32.0
375,,,163.0
376,,,
377,814.0,,142.0
378,1118.0,,
379,,,146.0
380,,,162.0
381,854.0,,349.0
382,104.0,,
383,577.0,,57.0
384,,,
385,,,161.0
386,,,87.0
387,,,
388,,,50.0
389,,,34.0
390,,,164.0
391,,,54.0
392,,,133.0
393,,,51.0
394,,,77.0
395,,,51.0
396,,,19.0
397,,,120.0
398,434.0,,57.0
399,,,57.0
400,,,70.0
401,344.0,,63.0
402,,,137.0
403,347.0,,48.0
404,,,64.0
405,163.0,,54.0
406,,,69.0
407,,,104.0
408,,,143.0
409,671.0,,171.0
410,,,69.0
411,,,
412,,,96.0
413,,,59.0
414,,,47.0
415,86.0,,45.0
416,,,208.0
417,,,85.0
418,,,148.0
419,,,57.0
420,,,
421,,,148.0
422,73.0,,244.0
423,33.0,,46.0
424,512.0,,66.0
425,,,99.0
426,,,
427,249.0,,72.0
428,302.0,,50.0
429,,,
430,614.0,,49.0
431,,,205.0
432,,,47.0
433,235.0,,
434,,,28.0
435,151.0,,159.0
436,,,89.0
437,,,38.0
438,,,35.0
439,,,68.0
440,,,111.0
441,,,42.0
442,472.0,,223.0
443,159.0,,116.0
444,,,110.0
445,287.0,,82.0
446,171.0,,298.0
447,,,65.0
448,,,45.0
449,,,52.0
450,110.0,,26.0
451,,,208.0
452,,,33.0
453,306.0,,30.0
454,524.0,,85.0
455,368.0,,66.0
