,type0,type1,type2
387,0.0,0.0,0.0
388,0.0,0.0,400.0
389,0.0,0.0,544.0
390,0.0,0.0,763.0
391,0.0,0.0,489.0
392,0.0,0.0,509.0
393,0.0,0.0,508.0
394,0.0,0.0,317.0
395,0.0,0.0,135.0
396,0.0,0.0,517.0
397,0.0,0.0,431.0
398,132.0,0.0,341.0
399,0.0,0.0,504.0
400,0.0,0.0,564.0
401,58.0,0.0,502.0
402,0.0,0.0,753.0
403,231.99999999999997,0.0,393.0
404,0.0,0.0,207.0
405,234.0,0.0,685.0
406,0.0,0.0,297.0
407,0.0,0.0,653.0
408,0.0,0.0,835.0
409,341.0,0.0,676.0
410,0.0,0.0,403.0
411,0.0,0.0,0.0
412,0.0,0.0,483.0
413,0.0,0.0,851.0
414,0.0,0.0,136.0
415,82.0,0.0,682.0
416,0.0,0.0,75.0
417,0.0,0.0,296.0
418,0.0,0.0,782.0
419,0.0,0.0,694.0
420,0.0,0.0,0.0
421,0.0,0.0,638.0
422,274.0,0.0,638.0
423,160.0,0.0,756.0
424,118.0,0.0,622.0
425,0.0,0.0,868.0
426,0.0,0.0,0.0
427,103.0,0.0,582.0
428,69.0,0.0,687.0
429,0.0,0.0,0.0
430,410.0,0.0,75.0
431,0.0,0.0,855.0
432,0.0,0.0,722.0
433,436.0,0.0,0.0
434,0.0,0.0,626.0
435,115.0,0.0,426.0
436,0.0,0.0,410.0
437,0.0,0.0,519.0
438,0.0,0.0,604.0
439,0.0,0.0,605.0
440,0.0,0.0,98.0
441,0.0,0.0,681.0
442,224.0,0.0,851.0
443,285.0,0.0,543.0
444,0.0,0.0,366.0
445,317.0,0.0,157.0
446,98.0,0.0,731.0
447,0.0,0.0,187.0
448,0.0,0.0,506.0
449,0.0,0.0,762.0
450,160.0,0.0,799.0
451,0.0,0.0,717.0
452,0.0,0.0,806.0
453,454.0,0.0,172.0
454,142.0,0.0,775.0
455,57.99999999999999,0.0,479.0
456,97.0,0.0,497.0
457,93.0,0.0,832.0
458,0.0,0.0,765.0
459,328.0,0.0,160.0
460,0.0,0.0,506.0
461,149.0,0.0,451.0
462,0.0,0.0,107.0
463,211.0,0.0,615.0
464,0.0,0.0,678.0
465,0.0,0.0,544.0
466,308.0,0.0,710.0
467,0.0,0.0,135.0
468,0.0,0.0,215.0
469,0.0,0.0,944.0000000000001
470,204.0,0.0,799.0
471,246.0,0.0,195.0
472,0.0,0.0,829.0
473,0.0,0.0,184.0
474,0.0,0.0,485.0
475,0.0,0.0,58.0
476,330.0,0.0,791.0
477,57.0,0.0,122.0
478,0.0,0.0,480.0
479,0.0,0.0,212.0
480,421.0,0.0,0.0
481,92.0,0.0,0.0
482,272.0,0.0,303.0
483,169.0,0.0,735.0000000000001
484,0.0,0.0,744.0
485,0.0,0.0,485.0
486,0.0,0.0,380.0
487,0.0,0.0,0.0
488,0.0,0.0,365.0
489,90.0,0.0,64.0
490,115.0,0.0,403.0
491,0.0,0.0,763.0
492,0.0,0.0,661.0
493,374.0,0.0,744.0
494,0.0,0.0,227.0
495,0.0,0.0,414.0
496,0.0,0.0,754.0
497,235.0,0.0,72.0
498,0.0,0.0,176.0
499,80.0,0.0,876.0
500,0.0,0.0,80.0
501,0.0,0.0,680.0
502,374.0,0.0,583.0
503,0.0,0.0,421.0
504,0.0,0.0,581.0
505,326.0,0.0,0.0
506,0.0,0.0,688.0
507,0.0,0.0,672.0
508,114.0,0.0,437.0
509,118.0,0.0,558.0
510,0.0,0.0,0.0
511,0.0,0.0,171.0
512,0.0,0.0,78.0
513,0.0,0.0,0.0
514,239.0,0.0,609.0
515,291.0,0.0,385.0
516,156.0,0.0,843.0
517,0.0,0.0,115.0
518,0.0,0.0,706.0
519,0.0,0.0,150.0
520,0.0,0.0,720.0
521,61.0,0.0,167.0
522,118.0,0.0,964.0000000000001
523,0.0,0.0,547.0
524,126.0,0.0,269.0
525,0.0,0.0,834.0
526,0.0,0.0,156.0
527,0.0,0.0,592.0
528,0.0,0.0,733.0
529,0.0,0.0,714.0
530,0.0,0.0,361.0
531,0.0,0.0,257.0
532,387.0,0.0,744.0
533,78.0,0.0,0.0
534,0.0,0.0,0.0
535,0.0,0.0,286.0
536,0.0,0.0,671.0
537,0.0,0.0,688.0
538,318.0,0.0,0.0
539,0.0,0.0,893.0
540,0.0,0.0,281.0
541,0.0,0.0,713.0
542,0.0,0.0,472.0
543,0.0,0.0,771.0
544,0.0,0.0,601.0
545,0.0,0.0,191.0
546,109.0,0.0,255.0
547,0.0,0.0,710.0
548,0.0,0.0,430.0
549,0.0,0.0,55.0
550,0.0,0.0,472.0
551,0.0,0.0,539.0
552,0.0,0.0,637.0
553,211.0,0.0,266.0
554,0.0,0.0,808.0
555,0.0,0.0,0.0
556,377.0,0.0,457.0
557,282.0,0.0,675.0
558,100.0,0.0,614.0000000000001
559,0.0,0.0,786.0
560,178.0,0.0,149.0
561,0.0,0.0,116.0
562,0.0,0.0,0.0
563,0.0,0.0,145.0
564,0.0,0.0,194.0
565,343.0,0.0,320.0
566,0.0,0.0,0.0
567,0.0,0.0,0.0
568,0.0,0.0,0.0
569,118.0,0.0,496.0
570,0.0,0.0,391.0
571,0.0,0.0,382.0
572,0.0,0.0,559.0
