,width1,width2,width4,width7,width10,width13,width16,width25,width34,width49,width70,width100
116,15.0,14.0,28.0,37.0,26.0,31.0,21.0,38.0,22.0,174.0,38.0,557.0
117,18.0,17.0,41.0,18.0,34.0,9.0,84.0,38.0,43.0,,111.0,112.0
118,16.0,32.0,21.0,19.0,6.0,56.0,123.0,44.0,62.0,221.0,118.0,663.0
119,16.0,436.0,7.0,35.0,5.0,29.0,373.0,27.0,58.0,141.0,40.0,191.0
120,131.0,19.0,39.0,60.0,4.0,41.0,311.0,29.0,15.0,377.0,280.0,51.0
121,23.0,36.0,33.0,11.0,26.0,60.0,13.0,311.0,47.0,71.0,429.0,321.0
122,28.0,29.0,7.0,8.0,9.0,30.0,29.0,45.0,39.0,190.0,502.0,110.0
123,80.0,83.0,5.0,44.0,5.0,1158.0,26.0,85.0,57.0,108.0,713.0,112.0
124,159.0,16.0,1054.0,26.0,22.0,18.0,14.0,23.0,505.0,53.0,,591.0
125,14.0,14.0,23.0,31.0,9.0,12.0,28.0,101.0,69.0,103.0,770.0,569.0
126,17.0,90.0,38.0,37.0,8.0,27.0,28.0,37.0,308.0,76.0,127.0,131.0
127,36.0,29.0,18.0,8.0,20.0,21.0,40.0,85.0,187.0,64.0,141.0,556.0
128,20.0,9.0,54.0,66.0,45.0,40.0,9.0,,74.0,875.0,97.0,167.0
129,26.0,27.0,51.0,19.0,20.0,22.0,15.0,33.0,20.0,443.0,380.0,213.0
130,34.0,48.0,65.0,61.0,6.0,102.0,24.0,10.0,55.0,45.0,70.0,493.0
131,5.0,57.0,25.0,40.0,82.0,11.0,136.0,56.0,58.0,236.0,550.0,103.0
132,55.0,45.0,63.0,21.0,53.0,22.0,13.0,51.0,121.0,19.0,115.0,215.0
133,18.0,17.0,12.0,10.0,32.0,53.0,27.0,20.0,517.0,111.0,501.0,210.0
134,10.0,56.0,9.0,23.0,31.0,15.0,12.0,35.0,58.0,236.0,167.0,135.0
135,14.0,21.0,94.0,16.0,12.0,5.0,11.0,17.0,26.0,315.0,,304.0
136,8.0,13.0,28.0,56.0,9.0,30.0,67.0,107.0,,117.0,114.0,216.0
137,48.0,89.0,24.0,8.0,6.0,28.0,16.0,41.0,31.0,315.0,231.0,82.0
138,18.0,107.0,382.0,10.0,46.0,51.0,10.0,377.0,48.0,85.0,123.0,355.0
139,47.0,8.0,13.0,29.0,12.0,7.0,78.0,221.0,268.0,150.0,199.0,866.0
140,32.0,21.0,14.0,25.0,17.0,94.0,49.0,198.0,421.0,108.0,79.0,191.0
141,26.0,14.0,15.0,339.0,15.0,19.0,17.0,32.0,27.0,616.0,46.0,1059.0
142,47.0,27.0,6.0,9.0,28.0,14.0,13.0,27.0,753.0,135.0,71.0,197.0
143,12.0,32.0,11.0,7.0,6.0,28.0,12.0,375.0,783.0,162.0,752.0,254.0
144,63.0,19.0,53.0,31.0,677.0,21.0,18.0,47.0,9.0,28.0,19.0,216.0
145,266.0,88.0,10.0,17.0,18.0,22.0,9.0,65.0,85.0,50.0,53.0,343.0
146,35.0,8.0,362.0,32.0,30.0,26.0,27.0,25.0,145.0,199.0,,711.0
147,153.0,10.0,51.0,58.0,155.0,50.0,67.0,290.0,177.0,118.0,77.0,148.0
