,width1,width2,width4,width7,width10,width13,width16,width25,width34,width49,width70,width100
125,92.0,80.0,62.0,120.0,55.0,67.0,61.0,147.0,1010.0,563.0,,
126,82.0,127.0,101.0,102.0,28.0,57.0,339.0,102.0,396.0,203.0,955.0,
127,158.0,102.0,48.0,25.0,29.0,42.0,74.0,135.0,249.0,212.0,,
128,111.0,39.0,108.0,184.0,78.0,64.0,22.0,,110.0,,591.0,1104.0
129,71.0,60.0,65.0,73.0,83.0,79.0,28.0,94.0,66.0,1066.0,,345.0
130,540.0,331.0,324.0,94.0,80.0,145.0,43.0,34.0,514.0,368.0,,
131,89.0,375.0,63.0,78.0,269.0,157.0,315.0,202.0,123.0,791.0,,
132,263.0,124.0,85.0,111.0,126.0,88.0,53.0,71.0,252.0,113.0,703.0,
133,108.0,86.0,65.0,21.0,48.0,78.0,67.0,54.0,558.0,469.0,,390.0
134,104.0,119.0,45.0,41.0,103.0,23.0,53.0,50.0,138.0,1075.0,,274.0
135,117.0,104.0,301.0,54.0,22.0,11.0,65.0,84.0,83.0,1029.0,,413.0
136,56.0,73.0,76.0,87.0,25.0,39.0,201.0,863.0,,177.0,439.0,
137,887.0,534.0,104.0,21.0,19.0,51.0,34.0,94.0,63.0,,,903.0
138,75.0,241.0,531.0,56.0,107.0,86.0,21.0,501.0,87.0,642.0,,
139,135.0,141.0,71.0,158.0,66.0,17.0,151.0,296.0,,906.0,,
140,840.0,64.0,147.0,37.0,38.0,122.0,79.0,270.0,995.0,329.0,367.0,399.0
141,41.0,63.0,86.0,377.0,40.0,47.0,46.0,68.0,49.0,,405.0,
142,170.0,78.0,76.0,72.0,39.0,35.0,65.0,75.0,961.0,210.0,1084.0,
143,117.0,125.0,51.0,29.0,21.0,35.0,48.0,951.0,866.0,1138.0,1021.0,1165.0
144,91.0,157.0,65.0,81.0,776.0,68.0,28.0,107.0,189.0,176.0,107.0,
145,371.0,375.0,92.0,112.0,34.0,145.0,38.0,89.0,202.0,103.0,122.0,
146,205.0,73.0,398.0,203.0,44.0,47.0,55.0,126.0,,965.0,,
147,300.0,66.0,147.0,88.0,299.0,75.0,805.0,380.0,959.0,561.0,166.0,485.0
148,201.0,70.0,96.0,69.0,50.0,40.0,113.0,256.0,144.0,1044.0,,
149,95.0,47.0,,27.0,154.0,45.0,35.0,86.0,145.0,117.0,991.0,
150,152.0,,56.0,21.0,30.0,46.0,68.0,66.0,501.0,,,395.0
151,75.0,297.0,34.0,93.0,234.0,121.0,80.0,653.0,1038.0,564.0,,
152,48.0,88.0,72.0,99.0,19.0,89.0,201.0,565.0,408.0,946.0,,
153,301.0,73.0,321.0,88.0,34.0,204.0,192.0,43.0,166.0,174.0,,
154,87.0,117.0,41.0,40.0,25.0,33.0,429.0,124.0,306.0,,994.0,
155,237.0,277.0,125.0,39.0,104.0,59.0,20.0,340.0,54.0,,980.0,
156,93.0,86.0,74.0,31.0,89.0,39.0,149.0,134.0,161.0,497.0,,
157,80.0,103.0,58.0,89.0,51.0,123.0,44.0,140.0,593.0,,453.0,
158,375.0,44.0,80.0,86.0,24.0,22.0,23.0,,469.0,356.0,,285.0
159,151.0,527.0,53.0,21.0,20.0,43.0,288.0,,119.0,1022.0,295.0,
160,279.0,95.0,74.0,123.0,22.0,55.0,85.0,421.0,92.0,,356.0,
161,257.0,202.0,128.0,67.0,75.0,55.0,146.0,252.0,603.0,179.0,,
162,178.0,270.0,124.0,41.0,336.0,144.0,513.0,1065.0,72.0,675.0,215.0,
163,258.0,569.0,56.0,60.0,20.0,236.0,125.0,64.0,571.0,,421.0,
164,696.0,574.0,20.0,23.0,34.0,55.0,138.0,117.0,131.0,573.0,877.0,
165,70.0,66.0,415.0,319.0,55.0,464.0,249.0,90.0,133.0,,244.0,
166,106.0,142.0,335.0,62.0,57.0,27.0,86.0,289.0,113.0,,,
167,98.0,161.0,43.0,23.0,371.0,435.0,27.0,343.0,107.0,1127.0,936.0,
168,68.0,113.0,96.0,734.0,856.0,35.0,54.0,,51.0,368.0,713.0,
169,144.0,161.0,183.0,89.0,36.0,42.0,30.0,500.0,78.0,398.0,,185.0
170,78.0,76.0,23.0,48.0,150.0,56.0,828.0,33.0,74.0,,292.0,
171,134.0,98.0,462.0,239.0,17.0,172.0,249.0,564.0,110.0,234.0,1114.0,
172,90.0,105.0,175.0,43.0,41.0,19.0,124.0,48.0,139.0,224.0,,
173,201.0,87.0,97.0,34.0,21.0,62.0,61.0,57.0,863.0,419.0,419.0,
174,135.0,63.0,82.0,68.0,104.0,60.0,41.0,276.0,310.0,558.0,811.0,
175,195.0,77.0,97.0,41.0,41.0,61.0,192.0,104.0,137.0,,,
176,506.0,56.0,118.0,48.0,469.0,21.0,841.0,86.0,189.0,814.0,,945.0
177,96.0,278.0,36.0,37.0,132.0,384.0,196.0,330.0,218.0,341.0,225.0,1132.0
178,312.0,64.0,67.0,27.0,37.0,246.0,513.0,58.0,,,,315.0
179,109.0,90.0,93.0,65.0,30.0,59.0,33.0,365.0,323.0,169.0,355.0,
180,162.0,63.0,84.0,523.0,141.0,48.0,34.0,840.0,532.0,942.0,481.0,
181,100.0,109.0,43.0,56.0,72.0,419.0,1178.0,20.0,125.0,,296.0,968.0
182,93.0,116.0,51.0,53.0,69.0,117.0,101.0,85.0,62.0,1056.0,192.0,
183,89.0,114.0,124.0,23.0,27.0,183.0,169.0,352.0,435.0,152.0,,
184,137.0,67.0,38.0,27.0,172.0,246.0,24.0,346.0,514.0,811.0,1016.0,
185,347.0,111.0,48.0,,17.0,68.0,60.0,37.0,967.0,309.0,,464.0
186,189.0,123.0,44.0,32.0,731.0,67.0,46.0,60.0,56.0,203.0,,
187,98.0,49.0,66.0,21.0,39.0,16.0,62.0,,78.0,389.0,,
188,76.0,144.0,157.0,37.0,97.0,386.0,67.0,319.0,,370.0,765.0,
189,57.0,463.0,25.0,52.0,35.0,25.0,98.0,660.0,108.0,508.0,,
190,152.0,85.0,82.0,206.0,241.0,56.0,151.0,,,,,
191,153.0,138.0,434.0,40.0,26.0,595.0,55.0,827.0,,324.0,,
192,155.0,69.0,58.0,36.0,37.0,135.0,81.0,34.0,467.0,,409.0,
193,145.0,78.0,54.0,63.0,312.0,170.0,563.0,103.0,142.0,158.0,,
194,36.0,567.0,79.0,192.0,273.0,75.0,88.0,85.0,541.0,253.0,1073.0,866.0
195,68.0,77.0,37.0,76.0,245.0,62.0,53.0,330.0,134.0,,1010.0,727.0
196,352.0,79.0,570.0,32.0,35.0,358.0,253.0,102.0,461.0,729.0,,
197,86.0,69.0,124.0,45.0,114.0,45.0,67.0,120.0,164.0,307.0,919.0,
198,84.0,136.0,590.0,25.0,899.0,45.0,173.0,110.0,,256.0,,357.0
199,385.0,369.0,36.0,486.0,22.0,59.0,692.0,38.0,604.0,1097.0,624.0,357.0
200,100.0,59.0,108.0,261.0,237.0,169.0,,36.0,519.0,458.0,,
201,62.0,712.0,451.0,147.0,26.0,33.0,78.0,409.0,31.0,376.0,,
202,814.0,115.0,47.0,216.0,64.0,222.0,224.0,39.0,207.0,387.0,475.0,
203,91.0,116.0,72.0,55.0,,407.0,28.0,68.0,135.0,394.0,836.0,
204,100.0,108.0,100.0,95.0,46.0,66.0,57.0,50.0,61.0,859.0,,
205,138.0,54.0,62.0,688.0,395.0,65.0,28.0,,,,,
206,139.0,771.0,183.0,24.0,33.0,199.0,46.0,112.0,,939.0,,
207,94.0,111.0,133.0,,78.0,963.0,85.0,118.0,654.0,423.0,573.0,1107.0
208,192.0,171.0,30.0,101.0,30.0,21.0,103.0,270.0,427.0,,,270.0
209,111.0,124.0,30.0,59.0,47.0,146.0,108.0,57.0,,183.0,385.0,
